Attribute1,Attribute2,Cluster
0.5,2.5,1
0.5,2,1
0.5,1.5,1
0.5,1,1
0.5,0.5,1
1,2.5,1
1,2,1
1,1.5,1
1,1,1
1,0.5,1
1.5,2.5,1
1.5,2,1
1.5,1.5,1
1.5,1,1
1.5,0.5,1
2,2.5,1
2,2,1
2,1.5,1
2,1,1
2,0.5,1
2.5,2.5,1
2.5,2,1
2.5,1.5,1
2.5,1,1
2.5,0.5,1
3,2.5,1
3,2,1
3,1.5,1
3,1,1
3,0.5,1
9,2.5,2
9,2,2
9,1.5,2
9,1,2
9,0.5,2
9.5,2.5,2
9.5,2,2
9.5,1.5,2
9.5,1,2
9.5,0.5,2
10,2.5,2
10,2,2
10,1.5,2
10,1,2
10,0.5,2
10.5,2.5,2
10.5,2,2
10.5,1.5,2
10.5,1,2
10.5,0.5,2
11,2.5,2
11,2,2
11,1.5,2
11,1,2
11,0.5,2
11.5,2.5,2
11.5,2,2
11.5,1.5,2
11.5,1,2
11.5,0.5,2
9,5.5,3
9,5,3
9,4.5,3
9,4,3
9,3.5,3
9.5,5.5,3
9.5,5,3
9.5,4.5,3
9.5,4,3
9.5,3.5,3
10,5.5,3
10,5,3
10,4.5,3
10,4,3
10,3.5,3
10.5,5.5,3
10.5,5,3
10.5,4.5,3
10.5,4,3
10.5,3.5,3
11,5.5,3
11,5,3
11,4.5,3
11,4,3
11,3.5,3
11.5,5.5,3
11.5,5,3
11.5,4.5,3
11.5,4,3
11.5,3.5,3
0.5,5.5,4
0.5,5,4
0.5,4.5,4
0.5,4,4
0.5,3.5,4
1,5.5,4
1,5,4
1,4.5,4
1,4,4
1,3.5,4
1.5,5.5,4
1.5,5,4
1.5,4.5,4
1.5,4,4
1.5,3.5,4
2,5.5,4
2,5,4
2,4.5,4
2,4,4
2,3.5,4
2.5,5.5,4
2.5,5,4
2.5,4.5,4
2.5,4,4
2.5,3.5,4
3,5.5,4
3,5,4
3,4.5,4
3,4,4
3,3.5,4
