
@RELATION agua-with-CAT-InspVis

@ATTRIBUTE TRANS REAL
@ATTRIBUTE OD REAL
@ATTRIBUTE PH REAL
@ATTRIBUTE DQO REAL
@ATTRIBUTE FeTotal REAL
@ATTRIBUTE NH4 REAL
@ATTRIBUTE NO3 REAL
@ATTRIBUTE PO4 REAL
@ATTRIBUTE PTOTAL REAL
@ATTRIBUTE STS REAL
@ATTRIBUTE CHLOROPHYLL REAL
@ATTRIBUTE TURB REAL
@ATTRIBUTE CYCLE {filling, full, emptying, dry}

@DATA
1.3,0.15,7.3,3.19,0.88,18.46,48.83,2.31,28.16,7.8,7.85,32,filling
3,0.18,6.71,7.87,2.88,237.07,23.91,40.97,61.39,4.8,5.39,1.65,full
3.5,0.26,6.95,2.29,0.25,12.91,11.38,0.93,8.41,1,5.47,11.15,emptying
3.1,0.26,6.59,6.8,6.46,222.64,15.33,27.95,66.81,6.4,5.63,10,emptying
3.2,0.27,6.94,7.39,10.23,159.39,27.51,7.55,55.31,5,5.91,16,emptying
2.7,0.28,6.64,8.88,2.6,87.26,39.6,26.56,84.38,5.8,5.68,5.83,full
2.5,0.29,6.49,12.36,3.39,199.21,11.84,30.66,60.2,8.4,4.7,9.06,filling
3,0.33,6.91,11.12,1.08,185.43,16.87,51.34,75.86,4.2,4.48,6.87,full
1.2,0.34,6.67,10.02,3.75,110.56,1.81,14.09,110.01,18.4,5.09,39.07,full
3,0.35,7.21,12.64,5.14,93.12,11.83,47.91,18.3,10,5.68,14.16,full
2.2,0.37,6.49,9.94,3.38,149.85,12.87,40.48,98.53,17,7.32,10.09,full
3,0.38,6.59,13.46,2.88,137.2,11.83,20.67,60.3,6.2,5.68,32.8,filling
3.5,0.38,6.45,4.04,3.23,116.11,8.5,33.14,75.04,11.2,4.64,14.73,full
3.2,0.4,6.75,14.24,4.32,263.7,2.41,19.98,67.15,5.4,6.75,18.78,filling
2.4,0.42,7.67,14.64,2.9,90.92,0,35.55,33.99,7,7.32,22.8,full
2.2,0.44,6.54,5.92,2.6,95.03,5.43,4.74,49.67,7.8,6.28,11.33,emptying
3.1,0.46,6.81,8.4,3.01,182.69,3.52,18.6,27.38,2,10.38,2.84,filling
2.6,0.49,6.5,6.24,3.91,220.34,7.24,31.62,43.37,5,5.38,4.46,emptying
2,0.5,6.73,6.24,0.91,140.53,2.74,3.02,10.1,10.67,6.6,52,filling
2,0.5,6.73,6.24,0.7,140.53,2.74,3.02,10.1,10.67,6.45,52,dry
2,0.52,6.65,11.47,2.75,193.49,9.55,23.87,43.67,8.4,5.68,9.99,filling
1.3,0.55,6.5,12.8,6.17,194.9,25.11,33.83,93.55,12.8,5.09,16.4,full
2.6,0.56,6.34,8.87,6.38,244.83,23.12,34.87,49.32,7.8,4.64,27.5,filling
3.3,0.58,6.43,6.77,1.91,245.27,7.49,55.45,79.52,2.2,4.69,3.25,full
2.8,0.61,6.53,9.68,8.02,245.27,26.4,40,58.47,7.2,6.6,5.41,filling
2.3,0.62,6.63,12.08,4.41,147.18,3.51,28.29,92.18,1.8,7.32,14.26,filling
3,0.63,6.88,12.8,2.19,180.47,2.79,2.67,25.33,6.6,10.38,8.06,filling
3,0.66,7.01,9.28,5.87,240.37,23.01,60.96,75.53,1.6,4.69,3.46,full
3.2,0.69,6.54,10.37,2.73,202.67,15.25,36.1,74.88,12.6,4.48,56.6,filling
