2;58,5008114771544;
-1;0,0
3;0,0;
1;0,0;
0;0,0;
2;79,15861737407556;
2;0,0;
-1;0,0
1;0,0;
-1;0,0
7;99,86722870778947;
-1;0,0
2;72,8062958642207;
7;99,81030931684401;
2;83,50353879125615;
-1;0,0
14;98,05754835284293;
1;0,0;
-1;0,0
7;99,90541087854194;
7;99,90541087854194;
18;94,68455908452306;
14;93,97306412050442;
14;93,97306412050442;
10;92,7186573592648;
3;91,36660325008215;
3;81,93104064004484;
-1;0,0
-1;0,0
1;0,0;
1;0,0;
1;0,0;
0;0,0;
-1;0,0
1;0,0;
-1;0,0
1;0,0;
2;0,0;
-1;0,0
1;0,0;
7;99,90541087854194;
4;99,89269623319693;
7;99,8482952323366;
18;99,26719501674519;
5;98,64500744621797;
64;97,17710255234094;
2;94,56696850580741;
7;92,08717950639549;
2;88,92373182816478;
2;84,58500162272593;
2;77,82501702633262;
1;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
7;99,90541087854194;
3;96,81333063528547;
6;93,08724169109675;
2;89,36066840401273;
2;79,45516034907585;
3;0,0;
1;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
2;0,0;
2;0,0;
-1;0,0
-1;0,0
-1;0,0
-1;0,0
-1;0,0
0;0,0;
1;0,0;
4;99,92657274071996;
8;99,91279727537542;
8;99,81268329568863;
2;99,3718680061173;
4;98,55687454304645;
2;97,76169259482077;
32;96,83772233983163;
3;95,29230327579428;
3;92,36113155608466;
2;86,5384662751039;
2;85,71178337473427;
2;81,97144746622128;
2;69,43568160114751;
-1;0,0
-1;0,0
-1;0,0
1;0,0;
1;0,0;
1;0,0;
3;0,0;
4;99,92657274071996;
2;97,76000860155045;
32;96,83772233983163;
3;90,86863890706078;
2;88,92360019600576;
2;80,09369028237381;
2;72,8062958642207;
1;0,0;
1;0,0;
-1;0,0
1;0,0;
1;0,0;
1;0,0;
1;0,0;
-1;0,0
1;0,0;
-1;0,0
2;0,0;
-1;0,0
1;0,0;
4;99,92657274071996;
7;99,8482952323366;
7;99,81030931684401;
2;97,7594464252589;
64;97,17710255234094;
32;96,83772233983163;
2;95,67796920570902;
2;88,88583849579786;
-1;0,0
-1;0,0
1;0,0;
-1;0,0
0;0,0;
1;0,0;
-1;0,0
2;0,0;
1;0,0;
2;0,0;
-1;0,0
1;0,0;
4;99,92657274071996;
6;99,92456326694385;
6;99,77068514511002;
2;99,31906549076697;
208;96,83772233983163;
4;91,49202083437518;
3;81,93104064004484;
3;67,5510354001294;
1;0,0;
-1;0,0
3;0,0;
1;0,0;
1;0,0;
1;0,0;
1;0,0;
1;0,0;
1;0,0;
-1;0,0
-1;0,0
3;0,0;
4;99,92657274071996;
6;99,92456326694385;
6;99,92044342932441;
7;99,89602228197475;
32;96,83772233983163;
2;87,72118404715737;
4;77,98869774881058;
4;77,34700051137405;
3;0,0;
-1;0,0
