@relation 'agua-original-with-cat-weka.filters.unsupervised.attribute.Remove-R2-4,6-7,9-12,14,16-17,19-20-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-L1,3'

@attribute TRANS numeric
@attribute DQO numeric
@attribute FeTotal numeric
@attribute NH4 numeric
@attribute PO4 numeric
@attribute CHLOROPHYLL numeric
@attribute CYCLE {filling,full,emptying,dry}

@data
3,7.87,2.88,237.07,40.97,5.39,full
2.7,8.88,2.6,87.26,26.56,5.68,full
3,11.12,1.08,185.43,51.34,4.48,full
1.2,10.02,3.75,110.56,14.09,5.09,full
3,12.64,5.14,93.12,47.91,5.68,full
2.2,9.94,3.38,149.85,40.48,7.32,full
3.5,4.04,3.23,116.11,33.14,4.64,full
2.4,14.64,2.9,90.92,35.55,7.32,full
2,6.24,0.7,140.53,3.02,6.45,dry
1.3,12.8,6.17,194.9,33.83,5.09,full
3.3,6.77,1.91,245.27,55.45,4.69,full
3,9.28,5.87,240.37,60.96,4.69,full
3.1,10.93,4.47,214.87,36.95,4.48,full
1.7,14.61,8.42,300.84,54.48,5.09,full
2.2,8.24,1.89,62.85,18.6,7.32,full
2.2,8.16,5.16,84.4,32.93,5.06,full
3.1,10.75,1.12,372.87,7.8,4.12,full
2.4,11.76,3.24,61.25,35.55,3.33,full
0.4,6.14,2.58,16.22,31.42,5.09,full
2.5,8.08,0.53,63.47,0.52,6.45,dry
0.9,9.04,0.81,258.22,17.14,15.29,dry
3.1,7.6,0.43,17.35,0.59,4.48,full
3,7.28,1.03,39.27,11.85,2.14,full
2,3.91,1.9,75.06,46.89,5.09,full
3,6.77,1.07,27.34,6.13,2.38,full
2.6,6.14,1.35,13.99,32.27,4.64,full
1.7,4.41,3.16,78.38,0.93,11.56,dry
4,3.12,0.41,62.85,2.32,6.45,dry
1.9,8,3.84,76.64,4.64,6.6,dry
2.2,10.65,2.13,61.07,19.71,4.81,full
1,7.8,3.08,166.04,15.82,4.72,full
3.2,12.93,8.33,162.52,48.04,4.48,full
3,6.89,0.15,7.37,1.97,4.41,dry
3.5,3.07,0.55,11.81,1.97,2.38,full
1.6,13.2,5.15,101.91,2.24,10.38,dry
2.8,6.4,0.79,59.84,12.88,1.9,full
3.3,6.77,1.25,12,22.29,1.67,full
2.5,4.32,1.06,139.29,3.61,6.49,dry
2.2,6.16,1.97,47.31,3.7,8.09,full
3,6.14,1.29,48.42,0.93,5.71,full
2.6,6.96,1.19,170.49,12.63,6.64,dry
2.8,7.36,3.18,7.41,18.38,0,full
2.6,6.14,0.94,18.97,25.83,0.71,full
2.5,4.62,2.74,240.4,0.24,6.49,dry
3.9,6.89,0.88,43.9,6.83,4.41,dry
3,6.48,1.52,4.11,14.6,0.95,full
3.1,6.89,0.79,9.61,7.39,4.41,dry
2.5,9.86,0.92,60.09,21,4.52,full
1.5,3.23,1.82,139.42,3.01,11.56,dry
2.8,4.8,1.14,10.7,9.59,4.12,full
2.8,3.92,0.99,5.15,3.7,3.81,full
2.5,5.8,0.27,2.92,0.58,6.74,full
1.5,3.23,0.6,131.65,0.59,5.47,dry
2.3,4.22,0.08,46.2,6.5,3.57,dry
1.8,9.76,1.24,17.31,12.95,11.12,dry
3.2,9.7,0.9,21.6,14.56,4.76,full
0.9,10.72,0.48,130.14,21,20.83,dry
1.8,4.33,0.73,28.45,2.67,9.04,full
1.8,4.8,1.09,92.04,21.81,4.76,dry
1.5,0.97,0.52,132.76,0.93,4.28,dry
2.3,4.51,0.13,43.99,9.98,8.81,dry
1,8.48,0.28,57.37,1.55,12.79,dry
2.1,5.44,0.87,78.83,13.27,6.49,dry
3.2,7.27,1.07,14.99,20.36,2.38,full
1.8,4.8,1.46,97.53,26.96,11.56,dry
3,4.22,0.22,19.57,3.37,6.66,full
2.4,6.89,0.56,10.7,13.4,0.71,full
1.4,6.8,1.15,43.99,6.47,4.81,full
2,6,0.7,29.56,3.37,11.19,dry
3,6,0.53,9.6,17,5.71,full
2,6.89,0.35,6.31,0.52,3.2,dry
3.1,7.11,0.42,59.84,16.81,2.86,full
3.2,3.16,0.3,25.12,0.53,6.43,full
2.6,3.64,3.98,119.44,0.93,6.45,dry
0.6,15.68,3.13,40.37,37.61,6.75,dry
1.4,8.8,0.98,17.3,2.24,17.14,dry
1.8,3.16,0.78,16.24,0.93,8.33,full
1.6,6.39,1.37,31.47,21.64,6.43,full
1.4,8.96,1.04,39.28,2.24,19.04,dry
0.8,6.28,1.15,39.28,8.76,6.43,dry
1.6,6.22,1.51,24.56,23.58,8.33,full
1.6,7.44,0.62,41.34,15.85,11.22,dry
2.6,6.89,0.61,34.43,10.05,4.41,dry
2.4,6.89,0.52,9.59,6.47,2.86,full
3.1,7.68,0.48,59.84,17.46,3.33,full
2.7,4.16,0.74,11.81,2.67,5.95,full
0.9,7.2,0.76,86.76,17.78,8.69,dry
1.1,8.64,2.18,324.99,6.01,9.04,dry
3.2,8.32,0.61,48.69,16.49,5.71,full
3.2,6.77,0.72,8.48,2.32,4.69,full
2.5,2.45,8.83,24.01,0.93,10.23,dry
1.9,5.76,0.81,5.21,3.27,12.14,dry
2.8,3.92,0.8,7.37,1.63,7.38,full
2.1,5.68,0.63,86.54,1.55,11.22,dry
2.5,4.8,0.43,67.86,2.92,2.86,dry
1.5,4.32,0.44,44.47,0.59,12.79,dry
2.5,4.56,0.33,42.58,3.27,4.05,dry
1.5,4.39,0.84,35.98,26.28,4.63,full
2.7,6.89,0.68,1.87,18.85,1.43,full
2.5,5.2,0.28,122.81,3.61,2.86,dry
3.2,8.08,0.54,48.69,16.17,4.76,full
0.8,6.61,1.03,44.78,8.42,6.19,dry
1,5.88,0.82,15.13,9.93,12.85,full
2.2,6.06,1.88,29.86,19.71,5.95,full
2.8,4.24,0.62,5.15,2.32,7.14,full
2.6,6.14,0.87,17.98,26.47,0.71,full
3,5.57,0.29,15.13,3.02,5.95,full
1.8,4.81,0.52,82.45,2.97,7.5,dry
2.5,7.48,0.45,59.1,17.78,4.58,dry
2.5,8.89,0.51,41.34,19.39,9.28,full
3,5.95,0.17,24.01,2.32,3.57,full
3.1,5.54,0.41,1.82,0.24,4.48,full
0.4,13.49,0.84,98.04,32.93,4.36,dry
1.8,7.76,0.41,55.77,12.54,8.77,dry
1.1,7.2,1.93,61.25,5.67,10.71,dry
1.4,10.32,1.79,48.42,1.97,12.79,dry
2.5,5.8,0.21,4.03,0.24,2.85,full
1.6,6.64,0.52,6.8,15.2,5.71,dry
3.1,7.27,0.46,59.84,18.18,2.62,full
1.8,3.49,0.52,19.57,1.97,13.57,full
0.6,6.94,1.31,15.11,9.1,2.14,dry
3.1,6.89,0.21,16.29,7.39,1.9,dry
4,2.32,0.23,8.48,1.97,7.62,dry
1.5,6.8,0.77,61.74,0.93,8.5,dry
0.4,13.09,2.25,87.13,35.57,2.78,dry
2.2,9.15,1.13,27.52,15.53,5.24,full
0.9,7.84,0.65,46.89,16.49,12.73,dry
2.8,5.92,0.62,59.84,9.45,3.57,full
0.7,7.78,2.85,54.16,44.18,2.86,full
2.5,9.21,0.73,33.44,21.64,2.38,full
2,6.61,0.54,24.56,10.05,3.91,dry
1,6.56,1.38,94.62,18.75,11.56,dry
2.4,5.6,0.72,404.44,11.98,4.11,dry
0.6,12.64,2.89,20.59,20.44,3.33,dry
4,2.32,0.19,9.59,1.28,7.62,dry
1.1,6.8,1.82,26.09,22.15,9.76,dry
0.8,6.04,1.03,34.89,8.42,6.43,dry
2,11.18,1.3,52.86,0.59,18.09,dry
2.5,7.48,0.3,40.35,13.27,7.62,dry
0.8,8.65,0.72,353.33,15.2,8.14,dry
2.6,6.89,0.27,2.86,13.59,1.43,dry
2,4.96,2.25,22.9,1.28,8.77,dry
2.4,6.89,0.49,10.7,8.21,3.81,full
2.8,2.4,0.57,0.81,9.45,5.24,full
1.6,6.57,1.3,39.36,32.91,8.09,full
2.6,4.96,0.41,56.14,13.59,8.09,dry
1.7,8.62,1.06,38.38,20.03,8.09,full
2.5,8.65,0.19,35.11,3.72,8.14,dry
2,9.68,0.9,293.12,36.23,6.66,full
3.2,3,0.35,18.46,0.18,9.04,full
1.6,7.6,0.55,56.86,19.71,12.79,dry
1.6,6.64,0.41,1.87,1.36,10.47,dry
2.2,6,0.49,10.7,0.59,14.04,full
0.8,8.65,0.86,110.72,3.61,8.14,dry
3,6.8,0.53,5.21,23.53,5.71,full
1.5,6.54,1.41,43.99,0.59,12.79,dry
1.8,4.81,0.31,72.23,2,7.14,dry
3,4.69,0.49,11.81,0.59,9.52,full
1.5,3.36,0.47,59.1,16.49,4.05,dry
2.7,6.89,0.78,14.7,15.53,2.38,full
2.2,6.46,1.16,18.95,18.58,6.19,full
0.8,3.36,1.21,58.46,33.31,4.81,full
2,5.2,1.67,28.45,0.93,10.47,dry
0.8,4.2,1.49,58.46,28.02,1.43,full
3.1,6.02,0.29,9.6,14.85,4.48,full
1,6.24,0.73,55.15,26.15,14.52,dry
2.4,4.8,0.65,174.45,5.22,4.28,dry
2,2,0.35,42.88,4.06,8.81,full
3,6.24,0.84,48.69,4.98,2.86,full
1.2,5.62,1.44,25.55,23.25,4.52,full
3.1,7.28,0.75,51.87,12.63,1.07,dry
2.5,7.48,0.33,23.58,13.92,6.19,dry
1.5,7.2,1.46,69.51,0.59,8.5,dry
2.2,5.6,0.57,12.91,1.63,8.33,full
1.4,5.88,2.35,44.3,32.91,5,full
0.8,8.65,0.65,338,13.59,13.57,dry
2.6,6.89,0.23,24.58,9.73,4.76,dry
2,6.61,0.38,32.46,10.7,5.71,dry
1.8,9.12,0.88,19.63,11.66,14.28,dry
2,1.5,0.37,46.2,9.63,7.85,full
1.8,6.4,1.78,37.33,1.28,8.57,dry
2.2,6.89,0.53,31.78,2.32,2.69,full
3,7.12,0.41,15.1,10.13,4.52,full
1.9,5.92,0.39,7.41,2.92,6.43,dry
0.9,7.84,0.62,56.86,18.1,12.02,dry
0.5,8.63,1.09,179.56,9.09,3.81,dry
2.6,4.8,0.48,48.24,12.31,9.04,dry
2.2,4.81,1.44,8.48,1.97,7.5,dry
0.6,4.3,1.25,17.35,22.75,4.99,full
2.2,4.81,0.11,6.26,2.32,8.81,dry
2.1,5.68,0.19,55.77,0,9.76,dry
2.1,5.92,0.25,60.16,0.86,9.28,dry
1.5,5.66,0.41,38.44,0.59,9.28,dry
3.1,6.88,0.7,42.9,15.53,0.83,dry
2.1,5.76,0.31,56.87,7.91,9.28,dry
2,1.66,0.36,40.66,28.09,7.38,full
1.7,8.98,0.91,66.01,13.92,5.71,full
2.2,8.98,0.91,27.52,13.59,5.24,full
0.8,10.24,0.61,72.23,2,12.79,dry
2.4,5.12,0.35,118.23,5.22,10.23,dry
2.1,4.88,0.38,4.83,7.48,16.42,dry
2.8,5.25,0.46,43.5,2.34,6.43,dry
2,5.12,1.53,24.01,0.93,10,dry
0.9,11.12,0.48,30.48,17.78,22.02,dry
3.2,3.58,0.26,21.79,0.53,9.52,full
2.5,6.89,0.91,5.32,21.22,1.43,full
2,6.89,0.56,37.38,0.86,0.4,dry
1.8,1.94,0.18,53.97,0.24,7.85,dry
3,6.77,0.33,17.3,17.69,3.09,full
3,8.24,0.4,4.11,8.07,2.38,full
3.1,7.28,0.78,36.92,11.66,1.19,dry
2.7,4.16,0.51,17.35,3.01,9.28,full
2.5,7.48,0.35,48.24,12.95,5.95,dry
2,6.61,0.4,24.56,9.73,5.71,dry
1.5,3.04,0.49,51.2,4.58,6.19,dry
2.5,5.8,0.31,4.03,0.1,5.23,full
1.6,6.46,0.53,16.98,20.03,12.38,dry
3.5,3.07,0.21,7.37,1.63,5.71,full
0.4,2.59,1.88,61.84,26.13,2.86,full
1.8,2.42,0.13,162.72,0.24,6.66,dry
3,4.12,0.35,21.79,1.28,8.09,full
1.2,5.53,1.33,21.6,19.71,5.71,full
1,7.8,0.9,8.47,6.82,8.56,full
1.7,3.67,0.62,7.37,2.32,14.99,dry
0.6,6.69,1.23,50.27,9.45,1.43,dry
2.7,6.89,0.72,20.62,14.24,5.24,full
0.8,3.72,1.39,58.46,33.31,1.17,full
3.3,6.77,0.95,13.99,17.14,2.62,full
2.5,2.45,8.83,9.59,0.24,11.66,dry
2.5,5.8,0.37,6.25,0.45,7.73,full
2.1,8.26,0.18,21.79,1.28,10.95,dry
0.6,11.84,2.69,27.19,17.35,6.43,dry
1.6,6.72,0.41,11.74,2,8.81,dry
1.61,3.76,0.7,36.4,10.7,5.29,dry
1.8,8,0.64,13.71,11.02,15.47,dry
2.1,8.16,0.22,27.34,1.63,11.22,dry
1.5,4.39,0.91,59.05,27.99,4.63,full
0.9,6.4,1.16,19.16,10.63,4.72,full
0.4,2.91,1.49,61.84,25,2.14,full
1.6,9.2,1.84,11.8,4.3,6.66,dry
0.7,6.99,2.09,25.55,22.29,4.52,full
1.5,8.32,1.44,21.4,12.71,8.55,full
0.8,4.04,1.57,58.46,26.51,1.19,full
0.6,7.34,1.44,37.09,10.13,0.48,dry
0.8,8.65,0.82,90.94,2.92,9.87,dry
1.8,6.32,1.73,32.89,1.63,13.8,dry
