region-centroid-col	region-centroid-row	vedge-mean	vegde-sd	hedge-mean	hedge-sd	intensity-mean	rawred-mean	rawblue-mean	rawgreen-mean	exred-mean	exblue-mean	exgreen-mean	value-mean	saturation-mean	hue-mean
DOUBLE	DOUBLE	DOUBLE	DOUBLE	DOUBLE	DOUBLE	DOUBLE	DOUBLE	DOUBLE	DOUBLE	DOUBLE	DOUBLE	DOUBLE	DOUBLE	DOUBLE	DOUBLE
38	189	1	0.222222	622.222	333.185	290.741	263.333	352.222	256.667	-822.222	184.444	-102.222	352.222	0.271208	-204.915
25	199	111.111	0.607407	105.556	0.462963	175.185	131.111	178.889	215.556	-132.222	111.111	121.111	215.556	0.393002	269.011
49	139	0.166667	0.077778	0.333333	0.088889	0.444444	0	133.333	0	-133.333	266.667	-133.333	133.333	0.777778	-20.944
63	220	305.556	15.263	366.667	608.889	818.519	655.556	644.444	115.556	-488.889	-522.222	101.111	115.556	0.486717	209.315
161	135	0.055556	0.136083	0.111111	0.172133	125.926	0.777778	3	0	-144.444	522.222	-377.778	3	1	-182.221
235	88	0.611111	0.240741	0.944445	0.32963	277.778	0.444444	644.444	144.444	-7	11	-4	644.444	0.938492	-226.954
67	32	0.944444	106.284	177.778	131.092	126.222	115.111	142.222	121.333	-333.333	48	-146.667	142.222	0.190625	-233.375
188	182	161.111	0.742868	416.667	212.655	58	518.889	724.444	496.667	-183.333	433.333	-25	724.444	0.314281	-199.159
217	245	316.667	301.662	216.667	124.276	974.074	744.444	711.111	146.667	-688.889	-788.889	147.778	146.667	0.572767	206.945
9	171	1.5	100.554	277.778	164.204	459.259	41	572.222	395.556	-147.778	338.889	-191.111	572.222	0.307943	-201.072
149	117	0.833333	0.255556	1	0.444445	212.222	211.111	263.333	162.222	-0.333333	153.333	-15	263.333	0.382629	-157.448
136	139	0.666667	0.177778	0.777778	0.207407	533.333	655.556	644.444	3	366.667	333.333	-7	688.889	0.566799	-100.494
214	79	127.778	0.862963	133.333	0.533333	485.185	2	922.222	333.333	-855.556	131.111	-455.556	922.222	0.791667	-228.898
