% # of instances: 2000

% Class distribution
% c1: 487
% c2: 487
% c3: 522
% c4: 504

@relation Synthetic_3_train

@attribute Dimension_1 numeric
@attribute Dimension_2 numeric
@attribute Dimension_3 numeric
@attribute Dimension_4 numeric
@attribute Dimension_5 numeric
@attribute Dimension_6 numeric
@attribute Dimension_8 numeric
@attribute Dimension_10 numeric
@attribute Dimension_11 numeric
@attribute Dimension_12 numeric
@attribute Dimension_13 numeric
@attribute Dimension_14 numeric
@attribute Dimension_15 numeric
@attribute Dimension_17 numeric
@attribute Dimension_18 numeric
@attribute Dimension_20 numeric
@attribute class {c1,c2,c3,c4}

@data
0.462106,3.53918,-0.184235,-0.008021,1.061662,1.389768,3.245501,1.272628,-3.554709,1.722959,-0.097914,1.331701,-5.515153,0.062277,-1.136504,-2.097153,c2
1.171071,2.518798,0.518522,18.122127,-0.54728,0.883932,0.775615,1.371955,-0.817606,1.748768,0.938047,-1.670271,-4.720513,-0.651616,-1.228238,1.770262,c4
1.770783,0.920831,0.854444,-9.950877,-0.06321,0.971641,54.486352,1.213279,0.290724,1.50607,0.910325,-0.52492,-3.962607,-0.225308,-2.100388,2.675022,c4
1.485235,2.823463,0.357699,-0.294088,0.460119,0.500406,26.246043,0.483106,-3.397159,1.779232,0.932435,-1.002214,-3.857432,0.209371,-1.367107,5.051375,c4
-0.104898,6.093294,0.808595,-0.281528,1.945026,0.552552,0.387801,1.568645,3.300667,1.832866,0.904772,4.148292,1.624156,-0.280206,-0.172236,-0.765504,c2
0.405286,0.604746,-1.595866,-2.331004,-0.501906,0.553015,-3.938442,1.051128,-1.176827,1.511285,0.303197,-1.462601,-5.195587,-1.525752,-1.81575,4.512324,c4
0.194417,0.191052,9.17857,-3.407595,0.757645,0.825741,-16.78322,0.217157,1.529549,1.431767,-0.920768,-0.424391,-0.470334,0.962116,1.223948,-0.394639,c1
0.990338,3.026631,1.542366,7.71077,-1.0693,-0.062961,-0.220279,-0.208772,0.488728,1.747308,0.414851,1.143242,0.834694,-2.343064,-1.77546,0.141618,c3
1.085426,-0.156425,2.200854,-3.985388,-2.228954,0.766403,7.110545,0.893504,2.616404,1.540549,1.21103,-1.55919,-5.515256,1.601555,-1.788446,5.544822,c4
0.154569,1.885194,3.830012,1.214887,1.928884,0.532122,2.491284,-0.220525,-1.160977,1.88813,-0.035107,0.943503,1.252396,-1.368127,-3.122835,0.863996,c3
0.253866,-0.293062,-8.210171,-2.663862,0.855712,0.920833,52.866005,0.61173,0.674175,1.519633,-0.548588,0.945721,-2.318874,1.563273,-1.289563,-1.910249,c1
1.262957,1.0753,3.832408,5.300559,-0.481042,0.843476,43.413284,0.824259,6.296246,1.56996,0.824211,-0.212521,-1.737018,0.537097,-1.410477,5.334479,c4
0.063745,1.491529,-2.993101,-5.550721,1.986349,0.707948,24.20143,0.35512,0.422217,1.499068,0.388954,-1.802314,-3.938449,2.526875,-2.635564,2.378604,c4
1.065257,2.411544,0.824348,0.014453,1.84509,0.352586,0.87315,0.732434,-1.113837,1.969689,0.664114,2.32345,-1.06326,1.783573,-2.027142,-23.795122,c2
0.888247,-0.052286,5.057223,-4.034895,0.54833,0.746417,-7.355629,0.4984,1.374994,1.820058,-0.765367,0.552816,-0.344312,1.450246,4.832836,1.406627,c1
1.348329,-0.480152,2.236283,-2.254042,0.633931,0.675391,176.157002,0.292394,0.193214,1.243462,-0.271223,-1.339632,-1.232181,0.663888,2.434309,-2.082658,c1
0.45783,1.848897,0.504115,1.778797,0.065704,0.151948,4.426029,0.338253,0.691109,1.903397,0.689637,0.227576,1.917903,0.549498,-1.56354,1.356837,c3
-0.076614,2.428285,-0.183159,-0.966274,1.369123,0.746961,3.147174,0.110158,6.533339,1.747856,0.430558,1.565679,-3.29991,-2.393435,-1.414988,0.00501,c2
-0.40269,2.108666,0.233026,3.235163,-0.136354,-0.071656,2.246968,-0.555412,4.240337,1.954354,0.254641,2.530559,-1.070266,-0.603721,-1.570268,1.8297,c3
0.446151,2.522608,-1.006103,-0.809838,0.991742,0.667775,2.426733,0.878342,0.064041,1.910345,0.355128,1.787924,-3.399361,0.345608,0.167078,4.213239,c2
0.072207,0.819596,4.109614,2.500311,0.050935,-0.473243,0.724934,-0.28601,1.172562,1.943301,0.7296,1.483455,-0.005199,-1.009334,-0.976556,-0.404236,c3
1.055663,3.221441,1.466658,8.053984,0.393692,0.579912,-1.013682,-0.933153,8.238608,1.876128,0.399121,0.373495,1.593452,-2.662357,-1.564643,0.465481,c3
0.8485,1.721041,0.54181,2.817957,0.54474,0.821487,15.74027,0.192618,-2.115421,1.011883,0.714968,-0.970154,-4.888266,-0.887297,-1.361421,5.568963,c4
-0.458393,3.501744,0.821366,-0.116222,1.787872,0.418704,0.869656,0.813862,-1.633947,1.852326,0.73481,3.168512,0.370691,-2.441006,-0.466942,-0.031246,c2
0.385964,1.832474,1.350925,-18.37988,0.786633,0.554554,6.211745,0.780859,6.353283,0.952635,0.68046,-1.70555,-4.560828,-0.08408,-0.678275,5.073551,c4
0.291229,0.17907,-3.195833,-1.381457,1.675149,0.665616,6.002324,1.398414,7.316836,0.822745,1.15532,-0.708127,-2.507193,0.322265,-0.248765,2.61551,c4
-0.366846,2.498516,2.153977,3.632669,1.564016,0.379513,-1.248975,-0.155113,5.386108,1.774357,1.176949,2.626289,-1.297748,-1.465843,-1.807505,-1.158499,c3
0.409609,3.962111,0.928195,-0.404708,0.19356,0.583471,1.43246,0.652098,-0.180717,1.545129,0.435606,1.98295,-1.926924,-1.164692,0.506027,1.10326,c2
0.170682,2.443612,2.078943,1.711977,0.208573,0.649521,0.856873,0.002669,3.311807,1.623024,0.511394,-0.069253,2.552724,-0.032996,-2.749092,0.437755,c3
0.160308,1.797924,1.608059,-1.040485,-0.185332,-0.472346,-1.312892,0.003003,1.75118,1.544063,0.452918,-0.622816,4.012171,-0.075441,-1.80807,0.046471,c3
1.13816,2.185018,0.298133,3.792949,1.559919,0.69315,-3.411196,-0.36046,-3.590762,1.302568,0.870124,3.03447,-5.011408,-1.160123,-3.806113,0.862067,c3
0.550278,0.534646,2.585193,1.226452,1.326875,-0.367053,-0.678954,0.528029,2.035173,1.16223,1.290992,0.738632,2.413785,-0.359037,3.566573,0.303961,c3
0.159519,3.447123,-1.60535,3.954546,2.222422,0.415835,5.372011,-0.411725,0.747131,0.913362,0.907658,-0.56694,5.266899,-0.87906,-2.647526,0.106814,c3
1.732242,3.24148,0.262092,-4.267056,2.956517,0.998917,-4.516657,1.01618,-2.176621,0.414132,0.345019,-0.316362,-3.222455,-1.167319,-0.317958,4.124618,c4
-0.394618,0.486804,-1.094131,4.159964,-0.01631,0.453726,2.103132,-0.316249,4.589324,0.743148,0.866672,1.428024,-0.020349,-1.117877,-1.629818,2.096779,c3
1.127393,1.575619,-4.475768,6.033698,0.528772,0.597259,-2.025481,0.57885,7.16167,0.185327,0.556613,0.181191,-4.675633,-0.108408,-0.44146,2.919814,c4
0.421628,0.096623,1.303095,-2.036782,0.067348,0.856492,-16.17461,0.172631,1.239407,1.037582,0.02575,0.515997,-2.06977,2.399526,1.821393,0.272476,c1
1.271524,-0.027166,4.357493,4.101366,0.323435,0.51223,9.839842,0.585712,1.774937,0.060601,0.297319,-0.684078,-4.215354,1.158355,-1.971748,4.604951,c4
1.27612,1.449666,0.84344,6.407852,0.325912,0.619326,0.872244,0.903217,3.421174,0.205165,0.996015,-1.636488,-4.401871,-1.27893,-0.33825,4.688972,c4
0.654346,3.380872,0.5128,2.344793,0.880093,-0.317219,2.774012,-0.288327,-0.378465,0.529149,1.100234,1.24344,2.496318,-0.337194,-2.826404,1.22384,c3
1.138819,0.530162,-1.601728,-1.359836,0.390301,0.677163,11.493642,0.864306,1.436788,0.059425,0.632614,-2.778408,-4.325252,-1.09427,-1.188935,5.043853,c4
-0.845334,3.357115,-0.239096,1.145045,1.490605,0.665917,0.444916,-0.253832,0.546582,1.684037,0.875605,3.78994,2.265748,-2.825969,0.102417,-0.515788,c2
1.062357,2.746055,3.00274,3.153434,1.117293,-0.104532,-0.661171,0.164414,1.967133,0.418815,0.594562,1.919486,-0.94433,-0.044669,-1.724169,0.708147,c3
0.444293,2.335683,-0.0855,3.037557,-0.063723,0.996359,-0.083216,-0.204564,9.51487,0.282336,0.704908,1.121713,-0.751112,-0.915178,-0.551014,0.706611,c3
1.84831,3.376475,-0.802612,0.398481,-0.009656,1.079158,2.00412,0.076627,-0.558965,1.473972,0.538188,1.573312,-3.968683,-2.292344,-0.637738,-2.229042,c2
0.615231,1.527271,0.022291,-9.412007,0.908167,0.641713,5.315311,0.793594,11.357779,0.047773,0.905241,-0.39493,-0.97489,0.807735,-1.015287,2.709082,c4
0.171696,2.056973,-3.262683,4.268966,0.715368,0.80211,4.752023,-0.4275,-1.408856,0.139622,0.679951,0.704887,0.712803,0.125018,-3.789558,0.024125,c3
0.729358,1.410129,3.662714,-3.18609,2.459166,0.666439,-3.017945,0.724954,0.919265,-0.317478,0.796927,0.051269,-3.62867,0.43206,5.806981,1.896771,c4
0.65374,1.065951,-4.220225,-1.071756,1.117313,0.724134,-1.263073,1.301865,1.541331,-0.098932,0.815903,-1.895722,-3.798743,-0.732729,-1.889259,1.207266,c4
0.33462,-0.561817,3.181009,-2.358394,0.973758,0.614624,99.109186,0.009404,0.024797,1.377733,-0.325274,1.224341,-2.679996,0.513873,-1.696447,-0.261503,c1
-1.184415,0.938939,4.847366,-1.827568,0.043581,0.79326,4.619681,-0.21752,-0.550953,0.69914,0.620842,2.047859,-1.314356,0.728902,3.104473,0.802868,c1
0.41757,0.594203,-0.815464,3.220811,1.416609,0.464283,0.381827,0.380899,-1.515209,0.05182,0.263658,1.406095,0.591788,-0.827409,-2.747899,1.167809,c3
1.196574,2.451594,-6.255666,6.771846,0.50763,0.985373,11.607399,1.607532,0.37953,-0.23277,1.117394,-2.093498,-5.584016,1.64976,-0.292201,4.402109,c4
-0.276419,4.307119,0.578271,-0.278665,0.732771,0.368371,0.20968,0.692821,0.322388,1.276228,0.705253,2.995862,0.17391,0.271429,-2.566202,1.030429,c2
