@relation 'Synthetic_3_train-weka.filters.unsupervised.attribute.Remove-R3,9,12-13,16'

@attribute Dimension_1 numeric
@attribute Dimension_2 numeric
@attribute Dimension_4 numeric
@attribute Dimension_5 numeric
@attribute Dimension_6 numeric
@attribute Dimension_8 numeric
@attribute Dimension_10 numeric
@attribute Dimension_12 numeric
@attribute Dimension_13 numeric
@attribute Dimension_17 numeric
@attribute Dimension_18 numeric
@attribute class {c1,c2,c3,c4}

@data
0.462106,3.53918,-0.008021,1.061662,1.389768,3.245501,1.272628,1.722959,-0.097914,0.062277,-1.136504,c2
1.171071,2.518798,18.122127,-0.54728,0.883932,0.775615,1.371955,1.748768,0.938047,-0.651616,-1.228238,c4
1.770783,0.920831,-9.950877,-0.06321,0.971641,54.486352,1.213279,1.50607,0.910325,-0.225308,-2.100388,c4
1.485235,2.823463,-0.294088,0.460119,0.500406,26.246043,0.483106,1.779232,0.932435,0.209371,-1.367107,c4
-0.104898,6.093294,-0.281528,1.945026,0.552552,0.387801,1.568645,1.832866,0.904772,-0.280206,-0.172236,c2
0.405286,0.604746,-2.331004,-0.501906,0.553015,-3.938442,1.051128,1.511285,0.303197,-1.525752,-1.81575,c4
0.194417,0.191052,-3.407595,0.757645,0.825741,-16.78322,0.217157,1.431767,-0.920768,0.962116,1.223948,c1
0.990338,3.026631,7.71077,-1.0693,-0.062961,-0.220279,-0.208772,1.747308,0.414851,-2.343064,-1.77546,c3
1.085426,-0.156425,-3.985388,-2.228954,0.766403,7.110545,0.893504,1.540549,1.21103,1.601555,-1.788446,c4
0.154569,1.885194,1.214887,1.928884,0.532122,2.491284,-0.220525,1.88813,-0.035107,-1.368127,-3.122835,c3
0.253866,-0.293062,-2.663862,0.855712,0.920833,52.866005,0.61173,1.519633,-0.548588,1.563273,-1.289563,c1
1.262957,1.0753,5.300559,-0.481042,0.843476,43.413284,0.824259,1.56996,0.824211,0.537097,-1.410477,c4
0.063745,1.491529,-5.550721,1.986349,0.707948,24.20143,0.35512,1.499068,0.388954,2.526875,-2.635564,c4
1.065257,2.411544,0.014453,1.84509,0.352586,0.87315,0.732434,1.969689,0.664114,1.783573,-2.027142,c2
0.888247,-0.052286,-4.034895,0.54833,0.746417,-7.355629,0.4984,1.820058,-0.765367,1.450246,4.832836,c1
