@relation 'winequality-red-weka.filters.unsupervised.attribute.Remove-R1,4-9'

@attribute volatile numeric
@attribute citric numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute quality numeric

@data
0.7,0,0.56,9.4,5
0.88,0,0.68,9.8,5
0.76,0.04,0.65,9.8,5
0.28,0.56,0.58,9.8,6
0.7,0,0.56,9.4,5
0.66,0,0.56,9.4,5
0.6,0.06,0.46,9.4,5
0.65,0,0.47,10,7
0.58,0.02,0.57,9.5,7
0.5,0.36,0.8,10.5,5
0.58,0.08,0.54,9.2,5
0.5,0.36,0.8,10.5,5
0.615,0,0.52,9.9,5
0.61,0.29,1.56,9.1,5
0.62,0.18,0.88,9.2,5
0.62,0.19,0.93,9.2,5
0.28,0.56,0.75,10.5,7
0.56,0.28,1.28,9.3,5
0.59,0.08,0.5,9,4
0.32,0.51,1.08,9.2,6
0.22,0.48,0.53,9.4,6
0.39,0.31,0.65,9.7,5
0.43,0.21,0.91,9.5,5
0.49,0.11,0.53,9.4,5
0.4,0.14,0.63,9.7,6
0.39,0.16,0.56,9.3,5
0.41,0.24,0.59,9.5,5
0.43,0.21,0.91,9.5,5
0.71,0,0.55,9.4,5
0.645,0,0.59,9.8,6
0.675,0.07,0.54,10.1,5
0.685,0,0.57,10.6,6
0.655,0.12,0.66,9.8,5
0.605,0.12,0.52,9.4,6
0.32,0.25,0.55,9.2,5
0.645,0,0.55,9.6,6
0.6,0.14,0.6,10.8,6
0.38,0.28,0.73,9.7,7
1.13,0.09,0.48,9.8,4
0.45,0.36,0.83,10.5,5
0.45,0.36,0.83,10.5,5
0.61,0.3,0.51,9.3,4
0.49,0.2,0.9,10.5,6
0.66,0.22,1.2,10.3,5
0.67,0.02,0.52,9.5,5
0.52,0.15,0.56,13.1,4
0.935,0.43,0.73,9.2,5
0.29,0.52,0.58,9.5,5
0.4,0.23,0.56,9.2,5
0.31,0.37,0.58,9.2,5
0.66,0.26,0.74,9.2,5
0.52,0.04,0.63,9.4,6
0.5,0.04,0.64,9.4,6
0.38,0.36,0.56,9.4,5
0.51,0.15,0.63,10.2,6
0.62,0.04,0.53,9.5,5
0.42,0.57,0.63,9.6,5
0.63,0.12,0.77,9.4,5
0.59,0.18,0.59,10,5
0.39,0.31,0.54,9.4,6
0.4,0.4,0.64,9.2,5
0.69,0.49,0.71,9.3,5
0.52,0.16,0.62,9.5,7
0.735,0.05,0.57,9.8,5
0.725,0.05,0.39,10.9,5
0.725,0.05,0.39,10.9,5
0.52,0.11,0.58,9.6,5
