Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Cluster
13.043478,51.5625,66.971429,35.195531,33.378654,14.590164,17.757009,7.835455,71.428571,24.444444,22.222222,20,3.466522,21.629147,17.193156,31.64113,18.63354,21.179761,19.361735,C1
13.043478,70.3125,66.171429,40.223464,59.347383,30,12.149533,8.716944,63.265306,24.444444,23.809524,29.090909,36.982,2.825829,25.781507,20.084918,15.52795,29.392321,20.537487,C1
58.695652,56.25,51.428571,64.804469,40.244731,36.721311,26.323988,1.860921,46.938776,48.611111,25.396825,18.181818,4.027792,44.117299,11.862455,10.236293,1.863354,4.830918,2.519469,C1
45.652174,96.875,63.542857,38.547486,48.334466,14.098361,23.987539,3.525955,46.938776,29.722222,38.095238,20,17.053209,3.631517,21.53669,11.740816,5.590062,7.856598,2.855398,C1
34.782609,54.6875,43.657143,10.055866,24.541128,27.868852,18.068536,4.995103,46.938776,65,74.603175,25.454545,6.211057,2.944313,1.233959,10.125531,6.21118,12.712942,7.879066,C1
34.782609,75,71.2,65.921788,48.878314,14.42623,21.495327,2.44858,46.938776,65,30.15873,21.818182,22.398873,6.558057,8.078315,7.282629,8.695652,23.59522,4.611391,C1
23.913043,73.4375,77.714286,70.949721,38.341264,33.442623,19.937695,3.036239,51.020408,65,15.873016,10.909091,0.450005,4.022512,32.576505,76.896806,30.434783,9.94152,19.80455,C1
13.043478,50,61.714286,61.452514,33.378654,39.508197,17.757009,16.650343,55.102041,21.666667,22.222222,29.090909,2.104144,31.445498,25.419546,50.387668,20.496894,12.102721,92.212552,C1
78.26087,50,39.085714,34.078212,40.244731,10.655738,47.975078,4.113614,46.938776,54.166667,58.730159,16.363636,1.822273,89.798578,1.809806,7.282629,3.10559,8.110857,14.612918,C1
30.434783,64.0625,58.742857,27.374302,55.404487,8.52459,16.666667,8.423115,46.938776,33.888889,22.222222,21.818182,4.853625,5.580569,18.887792,23.537013,14.906832,36.308162,6.840739,C1
65.217391,65.625,62.971429,62.011173,44.255608,28.52459,13.707165,1.371205,87.755102,73.055556,20.634921,12.727273,6.211057,21.386256,32.576505,6.331918,3.10559,10.882278,16.429989,C1
45.652174,50,31.771429,15.083799,32.834806,21.639344,4.82866,2.44858,83.673469,27.222222,17.460317,20,0.721986,75.444313,0.658111,5.704264,4.347826,17.137046,4.046419,C1
60.869565,75,55.885714,31.284916,13.800136,16.065574,29.595016,3.232125,55.102041,38.055556,44.444444,21.818182,4.564336,3.175355,0,9.959387,4.968944,22.984999,1.023057,C1
52.173913,64.0625,61.6,36.312849,19.510537,9.016393,2.647975,0.783546,42.857143,75.833333,38.095238,23.636364,4.289882,2.482227,0.674564,4.430497,1.863354,12.102721,2.885937,C1
63.043478,57.8125,59.428571,45.251397,12.440517,18.852459,3.738318,4.113614,42.857143,56.944444,20.634921,12.727273,2.920087,8.311611,0.098717,13.928374,4.347826,22.400203,4.855703,C1
67.391304,68.75,50.171429,30.726257,35.825969,9.344262,17.601246,2.15475,51.020408,37.777778,20.634921,12.727273,3.389872,1.824645,2.994406,10.587041,8.074534,8.466819,1.664376,C1
8.695652,67.1875,75.542857,44.134078,37.117607,25.081967,8.099688,33.398629,46.938776,56.944444,22.222222,21.818182,7.034418,9.798578,9.213557,72.152483,15.52795,14.263921,17.697358,C1
56.521739,60.9375,58.285714,58.100559,40.244731,13.770492,26.323988,0.881489,55.102041,32.5,15.873016,10.909091,2.37118,31.682464,1.233959,4.356655,0.621118,9.687262,4.886242,C1
23.913043,70.3125,77.371429,66.480447,38.341264,33.278689,19.937695,4.407444,55.102041,62.222222,15.873016,10.909091,0.724459,4.022512,15.482066,61.076241,25.465839,7.856598,21.209345,C1
45.652174,65.625,69.142857,51.396648,19.510537,20.327869,15.88785,3.525955,55.102041,67.5,12.698413,12.727273,2.096726,4.650474,3.520895,25.946096,5.590062,28.273583,5.634448,C1
58.695652,89.0625,73.6,68.156425,21.685928,42.131148,10.436137,0.881489,71.428571,43.333333,36.507937,21.818182,5.936604,4.780806,2.385653,10.762415,6.832298,14.314772,5.390136,C1
60.869565,68.75,45.257143,26.256983,39.42896,24.590164,16.510903,6.856024,55.102041,56.944444,44.444444,36.363636,2.096726,40.290284,3.520895,8.860993,2.484472,11.924739,4.412887,C1
47.826087,62.5,71.428571,72.625698,73.691366,26.393443,59.968847,1.762977,42.857143,67.222222,15.873016,12.727273,8.626743,0,9.591971,5.011999,15.310559,9.50928,4.412887,C1
47.826087,62.5,57.257143,55.865922,44.255608,37.04918,13.707165,4.995103,46.938776,65,65.079365,27.272727,19.973296,12.624408,17.308325,14.611409,4.347826,11.645055,3.939533,C1
34.782609,68.75,61.485714,62.569832,48.878314,14.918033,21.495327,3.330069,46.938776,67.5,30.15873,21.818182,24.317575,7.35782,0.098717,39.874469,6.832298,19.959319,3.282944,C1
56.521739,56.25,56.685714,74.860335,39.632903,32.295082,17.757009,4.995103,51.020408,35.277778,15.873016,21.818182,1.288201,0.882701,38.417243,12.977663,1.863354,14.51818,3.069171,C1
78.043478,57.8125,58.628571,40.782123,40.244731,20.655738,26.323988,7.443683,54.081633,42.222222,26.031746,16.181818,6.56216,30.586493,7.666996,11.44545,2.57764,8.110857,4.779356,C1
21.73913,40.625,50.742857,76.536313,33.378654,3.606557,17.757009,8.031342,38.77551,48.611111,15.873016,12.727273,7.034418,22.71327,18.427114,21.174082,14.906832,8.466819,9.222782,C1
39.130435,68.75,69.6,55.865922,28.008158,26.557377,19.937695,2.44858,59.183673,61.944444,15.873016,14.545455,3.464049,0.75237,9.032577,5.935019,3.726708,1.220442,3.679951,C1
26.086957,54.6875,64.8,18.994413,55.948334,39.508197,33.64486,14.887365,30.612245,13.611111,25.396825,27.272727,3.881911,2.446682,3.389273,20.952557,13.664596,19.959319,10.581768,C1
30.434783,65.625,50.285714,65.921788,46.159075,54.42623,38.006231,3.819785,67.346939,56.944444,31.746032,23.636364,13.789437,20.047393,20.335637,21.598671,11.180124,22.2985,7.466789,C1
45.652174,50,74.171429,50.27933,40.244731,31.47541,47.975078,6.170421,30.612245,24.444444,23.809524,20,2.662941,22.908768,23.445212,16.115931,3.10559,9.687262,5.5581,C1
34.782609,35.9375,68.914286,0,40.244731,23.934426,47.975078,5.386876,67.346939,65,33.333333,30.909091,4.564336,61.481043,12.059888,6.018091,3.726708,12.712942,8.764697,C1
56.521739,43.75,75.085714,65.921788,34.602311,35.901639,24.299065,4.015671,53.571429,38.055556,30.15873,16.363636,6.663535,47.21564,20.483712,20.65719,4.347826,12.865497,8.505115,C1
60.869565,62.5,78.285714,53.631285,47.246771,23.278689,18.691589,5.680705,30.612245,35.277778,33.333333,27.272727,4.690436,3.157583,23.132609,14.906775,2.484472,9.07704,1.801802,C1
10.869565,54.6875,24.114286,64.24581,51.665534,47.04918,12.305296,19.000979,55.102041,29.722222,30.15873,29.090909,11.346553,32.796209,43.780849,31.013476,16.770186,21.612001,21.66743,C1
47.826087,50,75.314286,37.430168,36.233855,25.737705,16.199377,7.247796,55.102041,32.5,25.396825,25.454545,4.445653,4.135071,36.903587,24.967694,3.726708,10.297483,2.580547,C1
2.173913,32.8125,62.628571,70.949721,66.825289,51.47541,17.757009,29.970617,51.020408,35.277778,36.507937,34.545455,3.733558,35.349526,31.638697,47.932435,57.763975,13.907958,56.329211,C1
23.913043,79.6875,64.342857,47.486034,32.562882,57.377049,23.676012,5.582762,34.693878,54.166667,52.380952,27.272727,5.387697,13.335308,0.674564,26.269153,11.801242,50.826341,11.803329,C1
28.26087,50,57.371429,53.072626,40.244731,33.442623,26.323988,4.113614,59.183673,56.944444,22.222222,9.090909,3.740975,71.469194,11.533399,13.928374,4.968944,8.136283,6.50481,C1
34.782609,57.8125,48.685714,50.27933,17.131203,97.868852,60.124611,4.015671,30.612245,54.166667,57.142857,25.454545,25.143408,19.632701,0.575847,11.039321,8.695652,21.789982,39.838143,C1
