@relation agua-cat4-sem_CAT-weka.filters.unsupervised.instance.Resample-S1-Z65.0-no-replacement

@attribute TRANS numeric
@attribute TEMP numeric
@attribute OD numeric
@attribute PH numeric
@attribute DQO numeric
@attribute COND numeric
@attribute Cl numeric
@attribute FeTotal numeric
@attribute Ca numeric
@attribute Mg numeric
@attribute Na numeric
@attribute K numeric
@attribute NH4 numeric
@attribute NO3 numeric
@attribute PO4 numeric
@attribute PTOTAL numeric
@attribute STS numeric
@attribute CHLOROPHYLL numeric
@attribute TURB numeric
@attribute ORP numeric

@data
0.9,30.4,4.06,7.11,7.2,86.7,3.92,0.76,4,1.94,6.8,2.2,86.76,15.9,17.78,36.83,5.25,8.69,11.8,93.9
2,29.6,6.77,7.17,5.68,48.9,2.2,0.7,3.36,0.87,1.7,1.3,9.59,22.64,2.32,11.45,3.4,10.47,16.44,180.25
2.4,29.5,6.31,7.81,8.16,60.2,2.73,0.59,3.84,1.56,2.5,1.6,0,0,7.39,12.14,3.2,12.14,5.86,174.8
1.2,31.6,7.13,6.99,4.37,83.4,3.07,0.95,4,2.57,1.8,1.2,14.02,25.54,3.38,54.58,10.2,8.5,35,270.3
2,30.4,7.69,7.82,3.6,47.7,3.41,0.24,4.96,3.5,1.3,0.8,30.67,15.76,0.93,23.96,3.8,3.74,5.82,243.1
1.3,30.9,0.15,7.3,3.19,82.5,2.39,0.88,4,2.47,2,1.3,18.46,48.83,2.31,28.16,7.8,7.85,32,297.6
1.6,30.1,7.17,7.2,9.2,56.2,3.75,1.37,2.4,0.97,2.3,1.8,1.91,6.05,2.24,26.69,9,13.09,0.11,144.5
2.3,29.7,2.97,6.82,4.22,50.3,1.63,0.08,4.8,0.78,1.8,1.2,46.2,2.11,6.5,13.81,2.6,3.57,10.82,151.5
3.3,29.7,5.13,7.02,2.8,43.4,1.49,0.44,4,1.85,1.8,1.1,6.26,16.63,0.24,13.33,1.6,8.57,7.93,188.3
1.5,28.7,5.68,7.18,8.32,42.6,1.92,1.44,3.68,1.85,2.4,1.7,19.16,23.24,12.36,26.01,4.4,8.55,24.8,237.1
1.4,29.4,6.34,7.97,3.65,54.3,2.04,0.65,4.16,2.33,1.4,1,6.31,15.34,13.76,18.03,13.2,10.47,19.61,170.29
3.5,29.5,5.54,6.94,3.07,39.9,1.7,0.21,3.52,2.43,0.9,0.6,7.37,2.88,1.63,7.84,1.6,5.71,1.55,211.55
1.4,29.2,4.6,6.79,10.32,61.5,3.74,1.79,2.38,2.23,3.3,2.1,48.42,28.62,1.97,17.86,19.2,12.79,11.83,123.1
2.7,29.2,4.06,6.8,4.16,52.6,2.13,0.74,3.36,1.75,1.9,1.7,11.81,20.54,2.67,54.12,2,5.95,2.7,175.1
2.5,29.5,5.02,7.19,8.65,63.2,2.53,0.19,4.32,2.23,1.5,1.6,35.11,23.9,3.72,12.46,13.4,8.14,65.6,77.2
2.8,29.8,5.45,6.93,5.25,48.9,2.73,0.46,2.72,1.75,2.6,1.7,43.5,14.54,2.34,11.92,2.4,6.43,1.38,92.3
3,30.2,5.77,7.38,3.2,46.3,1.78,0.27,4.48,2.14,1.7,1,8.48,33.52,10.05,23.27,0.8,6.64,2.98,182.5
2,29.7,4.41,7.2,3.49,91.8,5.11,0.43,3.2,2.14,4.3,1.8,101.69,33.14,0.53,13.63,3,8.57,26.2,317.6
1.7,30,1.27,6.84,4.41,43.1,2.77,3.16,3.2,2.33,2.8,1.8,78.38,3.59,0.93,75.38,9,11.56,7.11,195.7
2.8,29.5,1.82,7.19,5.44,57.7,3.07,0.97,4.32,1.7,2.73,1.3,57.76,31.43,6.58,19.96,3.6,5.63,4.6,158
