Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Cluster
45.652174,74.171429,50.27933,40.244731,6.170421,2.662941,22.908768,23.445212,16.115931,3.10559,9.687262,5.5581,C1
17.391304,69.257143,46.927374,15.363698,8.129285,2.645633,10.082938,5.231984,24.367731,43.478261,40.554284,9.60452,C1
45.652174,39.771429,41.340782,31.475187,27.032321,17.186727,7.896919,1.809806,64.2422,40.993789,28.273583,28.004275,C1
47.826087,69.142857,59.217877,44.255608,4.799216,21.451884,16.350711,16.238894,12.313088,0.621118,6.661581,2.443121,C1
32.608696,50.171429,62.011173,23.24949,4.015671,4.366532,10.337678,18.887792,21.229463,8.695652,10.297483,5.145824,C1
17.391304,81.714286,70.391061,19.646499,8.716944,4.289882,10.041469,2.336295,23.537013,24.223602,29.64658,47.320202,C1
8.695652,46.285714,53.072626,33.378654,10.186092,27.611018,22.778436,47.663705,33.108732,12.42236,17.289601,12.566804,C1
6.521739,34.742857,46.368715,39.021074,6.268364,1.987934,38.193128,29.64791,25.447665,9.937888,11.492499,13.055428,C1
4.347826,64.8,37.988827,39.089055,6.268364,3.192068,9.2891,7.535373,27.709064,57.763975,17.54386,98.167659,C1
39.130435,82.742857,47.486034,30.387492,2.056807,4.289882,2.547393,0.098717,9.497877,11.801242,36.918383,10.719194,C1
52.173913,31.314286,19.553073,20.054385,9.50049,1.273366,40.663507,5.791379,13.928374,4.347826,9.687262,2.519469,C1
45.652174,31.771429,15.083799,32.834806,2.44858,0.721986,75.444313,0.658111,5.704264,4.347826,17.137046,4.046419,C1
47.826087,71.428571,72.625698,73.691366,1.762977,8.626743,0,9.591971,5.011999,15.310559,9.50928,4.412887,C1
45.652174,62.971429,60.335196,40.244731,2.44858,2.920087,89.259479,0.575847,6.165774,4.968944,10.882278,9.741945,C1
50,44.685714,27.932961,21.685928,7.05191,2.920087,12.168246,4.096742,48.412405,5.590062,15.128401,3.954802,C1
45.652174,78.057143,40.782123,47.246771,3.232125,4.289882,3.631517,32.017111,12.026952,6.21118,11.950165,18.430295,C1
67.391304,60.457143,43.01676,37.457512,2.938296,6.317377,4.117299,1.414939,12.026952,9.31677,11.492499,3.389831,C1
47.826087,8.685714,22.346369,32.834806,49.265426,34.860548,76.214455,35.850609,41.942034,3.726708,17.137046,6.733852,C1
8.695652,57.257143,31.843575,16.247451,11.65524,14.454554,17.464455,54.508062,37.105409,18.63354,12.22985,24.812949,C1
32.608696,67.657143,67.597765,44.255608,0,8.132232,29.259479,2.945048,9.64556,4.347826,15.738622,17.437777,C1
34.782609,76.457143,62.011173,26.376615,3.036239,1.273366,5.580569,32.576505,29.112055,8.695652,30.256801,26.248282,C1
8.695652,63.085714,76.536313,52.209381,7.835455,22.485412,41.469194,4.508062,13.30995,57.763975,25.095347,34.951901,C1
2.173913,77.6,73.184358,40.924541,9.598433,10.876768,18.957346,8.078315,46.520214,93.167702,14.51818,77.09574,C1
15.217391,72.114286,91.061453,32.834806,11.557297,1.560182,27.464455,11.286607,22.789367,14.906832,33.282482,27.347687,C1
45.652174,79.428571,56.424581,37.457512,5.093046,8.406686,8.649289,1.233959,16.457449,15.52795,100,48.236372,C1
56.521739,48.457143,26.815642,36.913664,2.742409,11.927604,8.489336,16.765383,10.587041,2.484472,11.492499,1.86288,C1
32.608696,63.542857,43.575419,41.264446,8.227228,13.880922,2.962085,23.659098,21.515599,8.074534,11.772184,5.710796,C1
56.521739,49.6,43.01676,33.854521,1.469148,5.936604,0.75237,3.520895,18.995754,13.664596,9.07704,1.588029,C1
26.086957,58.857143,30.726257,56.560163,6.75808,14.800712,6.694313,12.882527,36.108547,9.937888,24.205441,6.672774,C1
39.130435,2.514286,10.614525,60.978926,32.908913,37.051231,7.624408,66.304705,89.403729,52.173913,18.611747,15.238968,C1
23.913043,88,46.927374,22.5017,2.742409,5.936604,3.572275,16.222442,17.408159,7.670807,11.772184,39.074668,C1
39.130435,56,10.055866,34.194426,4.60333,2.645633,4.905213,0.674564,13.29149,7.670807,35.697941,8.550924,C1
30.434783,64.114286,45.251397,32.019035,17.531832,6.485511,20.622038,2.945048,17.43585,8.695652,33.892703,4.046419,C1
58.695652,6.285714,6.145251,67.709041,43.584721,53.127782,31.143365,60.496874,56.959572,15.52795,11.390796,16.903344,C1
34.782609,39.428571,27.932961,34.194426,8.716944,7.308872,2.28673,5.248437,4.042828,10.559006,28.451564,24.324324,C1
45.652174,63.542857,38.547486,48.334466,3.525955,17.053209,3.631517,21.53669,11.740816,5.590062,7.856598,2.855398,C1
52.173913,46.4,56.98324,26.03671,9.304603,14.281476,3.708531,10.52978,16.882038,4.968944,13.907958,3.389831,C1
65.217391,55.085714,24.581006,16.043508,2.44858,2.37118,25.604265,1.809806,1.264538,2.919255,13.297737,13.421896,C1
56.521739,51.771429,51.955307,10.740993,0.587659,4.843735,28.720379,1.233959,4.975078,4.347826,14.51818,16.552145,C1
47.826087,48.228571,27.374302,30.523453,3.721841,0.175551,34.058057,1.809806,6.331918,2.484472,11.79761,14.628188,C1
0,64.685714,37.988827,20.870156,9.892262,15.290278,23.39455,42.086213,75.743031,26.708075,13.323163,34.341121,C1
47.826087,70.514286,22.346369,34.330387,2.840353,1.822273,6.74763,1.233959,5.06738,1.863354,11.79761,14.460223,C1
60.869565,34.514286,25.139665,59.347383,8.619001,5.340718,14.218009,23.659098,18.645006,2.484472,12.102721,2.030844,C1
45.652174,49.485714,26.815642,53.840925,4.799216,10.221541,1.291469,31.605791,26.693742,4.968944,23.59522,3.359291,C1
52.173913,64.571429,36.871508,18.694765,4.211557,16.148254,31.232227,2.928595,9.460956,5.590062,13.907958,2.198809,C1
13.043478,70.857143,36.312849,29.57172,9.892262,5.387697,33.637441,13.770977,38.286875,21.118012,39.944063,29.42434,C1
56.521739,6.628571,12.290503,54.860639,55.729677,67.552665,16.119668,41.674893,37.63153,30.434783,13.679125,21.34677,C1
32.608696,61.828571,57.541899,23.24949,3.721841,2.902779,10.337678,25.255018,15.765184,4.347826,13.323163,5.054207,C1
56.521739,64.228571,60.335196,15.159755,2.44858,2.096726,19.85782,16.238894,19.937235,1.863354,16.882787,4.382348,C1
23.913043,68.228571,41.899441,47.790619,10.284035,14.167738,9.218009,1.233959,20.251061,18.012422,21.612001,38.158497,C1
50,76.457143,33.519553,17.878994,8.423115,3.192068,9.43128,5.791379,16.143622,7.670807,21.789982,3.847916,C1
28.26087,64.914286,42.458101,18.354861,6.268364,1.822273,20.622038,3.520895,23.41702,14.285714,41.749301,6.535349,C1
41.304348,5.371429,18.435754,75.526852,42.997062,36.391059,2.079384,46.248766,83.542551,4.968944,18.611747,21.606352,C1
67.391304,75.2,76.536313,21.14208,10.479922,5.924241,17.446682,23.659098,13.180727,2.484472,10.297483,1.786532,C1
36.956522,63.428571,46.927374,43.439837,6.75808,6.317377,2.535545,22.60612,22.95551,4.347826,18.052377,6.336845,C1
15.217391,82.742857,55.307263,15.907546,6.856024,2.645633,28.767773,6.367226,23.41702,24.223602,24.815662,13.192854,C1
58.695652,49.714286,31.843575,14.887831,1.958864,7.034418,1.765403,0.098717,1.901421,3.10559,20.56954,2.824859,C1
56.521739,58.285714,44.692737,35.825969,8.031342,12.038869,7.008294,7.897335,1.098394,2.484472,7.271803,3.939533,C1
60.869565,37.714286,22.346369,42.828008,10.284035,3.706359,19.158768,33.201711,20.943327,2.484472,6.05136,1.740724,C1
26.086957,62.4,51.396648,64.10605,14.691479,38.952626,5.580569,12.537019,19.789551,6.21118,15.128401,5.405405,C1
30.434783,49.371429,51.955307,26.104691,4.89716,20.386213,54.709716,4.590326,12.599225,7.453416,19.069413,12.856925,C1
8.695652,75.542857,44.134078,37.117607,33.398629,7.034418,9.798578,9.213557,72.152483,15.52795,14.263921,17.697358,C1
56.521739,10.514286,37.988827,42.895989,9.892262,9.709722,2.731043,19.200395,13.900683,6.832298,5.441139,4.870973,C1
6.521739,64.914286,50.837989,40.924541,18.805093,6.80447,21.806872,51.201053,50.286136,70.186335,9.687262,48.999847,C1
47.826087,61.485714,67.597765,26.716519,0.587659,4.015429,6.327014,2.385653,14.943696,0,12.712942,16.521606,C1
0,75.085714,56.98324,52.073419,25.954946,7.155573,40.545024,45.903258,82.785675,93.78882,9.07704,58.314246,C1
60.869565,6.171429,13.407821,63.902107,26.542605,50.111265,9.03436,59.098388,67.574303,38.509317,11.390796,86.257444,C1
28.26087,12.8,30.167598,23.385452,30.754163,19.379883,2.126777,1.233959,68.035813,27.329193,29.392321,10.688655,C1
47.826087,43.771429,46.368715,40.244731,5.778648,8.513006,5.053318,16.238894,11.45468,9.31677,11.212815,7.650023,C1
39.130435,82.4,52.513966,23.24949,3.721841,3.192068,5.870853,2.385653,13.29149,6.832298,16.933638,6.459001,C1
63.043478,56.914286,40.223464,12.440517,4.113614,1.547819,9.851896,0.098717,10.762415,4.347826,21.789982,11.940754,C1
47.826087,73.142857,62.569832,26.104691,3.819785,2.967066,39.188389,14.116486,9.728632,3.726708,12.102721,6.840739,C1
34.782609,55.771429,44.692737,59.211421,8.619001,72.475522,8.898104,59.312274,20.435665,9.31677,16.933638,5.542831,C1
2.173913,81.942857,64.804469,52.073419,12.830558,48.187617,50.533175,28.430405,29.859701,91.925466,7.271803,43.04474,C1
4.347826,56.685714,49.72067,40.924541,11.557297,8.81713,31.220379,24.679171,36.773122,68.198758,7.856598,28.920446,C1
