@relation agua-with-CAT-InspVis-weka.filters.unsupervised.instance.Resample-S1-Z70.0-no-replacement

@attribute TRANS numeric
@attribute OD numeric
@attribute PH numeric
@attribute DQO numeric
@attribute FeTotal numeric
@attribute NH4 numeric
@attribute NO3 numeric
@attribute PO4 numeric
@attribute PTOTAL numeric
@attribute STS numeric
@attribute CHLOROPHYLL numeric
@attribute TURB numeric
@attribute CYCLE {filling,full,emptying,dry}

@data
2.2,6.24,7.3,6.24,0.27,12.91,3.17,6.01,7.1,2.2,1.9,4.91,emptying
1.4,5.9,6.94,5.88,1.57,31.47,47.85,24.86,29.03,4.8,8.33,11.53,full
2.6,4.97,6.7,5.8,0.71,186.38,3.93,17.14,19.69,1.8,7.85,3.49,filling
0.7,0.84,6.89,10.5,2.41,166.22,20.49,32.55,53.42,9.8,4.72,15.88,filling
3,4.21,6.7,7.13,0.3,26.23,1.89,0.24,8.19,1.6,5.68,4.17,filling
2,6.56,7.2,7.1,0.48,3.02,0.57,7.04,9.1,2.6,7.62,3.09,emptying
3,4.63,6.88,7.52,0.3,29.56,2.12,9.74,7.5,1.4,5.68,4.47,filling
1.8,3.25,7.2,4.8,1.09,92.04,133.09,21.81,32.72,4.8,4.76,6.97,dry
2.6,4.42,6.74,5.8,0.82,166.33,11.12,19.07,21.56,1.4,6.19,2.98,filling
1,5.15,7.68,5.88,2.05,11.8,54.11,17,50.95,7.4,7.14,22.3,filling
0.5,6.64,7.62,6.99,1,29.56,59.99,4.74,33.55,27.4,7.14,36.3,full
2,6.63,7.25,3.88,0.03,8.48,9.42,19.98,16.76,4.2,12.85,13.92,emptying
2.2,6.4,7.3,5.47,0.19,8.51,0.8,6.7,8.1,1.2,5.71,2.36,emptying
2.2,7.39,7.15,5.44,0.23,17.35,4.3,0.24,11.96,4,14.52,7.13,emptying
1.7,6.01,7.1,9.33,1.14,31.47,9.87,15.2,22.49,3.8,8.57,4.91,full
2.2,5.35,7.01,6.89,0.53,31.78,64.01,2.32,15.73,1.6,2.69,4.48,full
3.9,2.37,6.83,6.89,0.88,43.9,37.15,6.83,13.76,4.2,4.41,7.07,dry
2.8,7.6,7.3,4,0.07,16.24,1.5,4.64,4.07,1.4,6.43,2.05,emptying
