Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Cluster
80.555556,42.428676,11.542857,5.087564,29.611563,8.466819,C1
16.666667,40.892465,14.857143,25.376136,33.69467,29.392321,C1
75,33.430871,3.771429,0.488106,0.252936,11.390796,C1
58.333333,43.306511,6.514286,2.888406,25.889792,9.687262,C1
86.111111,15.362107,1.485714,1.97656,2.764228,14.51818,C1
38.888889,28.09071,5.028571,22.112264,5.185185,19.069413,C1
58.333333,40.892465,4.457143,7.332314,0.885276,100,C1
75,43.306511,0.571429,0.809934,21.445348,10.882278,C1
44.444444,41.25823,7.314286,7.911605,17.976513,19.959319,C1
30.555556,24.506218,2.4,11.926409,0.252936,47.876939,C1
30.555556,15.142648,4.685714,13.731327,8.093948,15.738622,C1
30.555556,25.018288,8.685714,9.649476,47.299006,11.772184,C1
75,43.306511,1.485714,4.368815,13.170732,4.830918,C1
50,37.234821,20.571429,8.008153,35.429088,15.128401,C1
13.888889,50.256035,6.171429,15.249283,32.520325,30.561912,C1
72.222222,26.627652,12.571429,4.653096,17.145438,13.323163,C1
61.111111,28.017557,4.571429,12.937485,22.059621,22.984999,C1
44.444444,41.25823,3.657143,6.586746,17.398374,14.51818,C1
22.222222,35.918069,14.057143,5.530078,60.451671,13.323163,C1
66.666667,31.309437,4.342857,11.666264,4.046974,16.348843,C1
38.888889,7.09583,1.142857,14.474214,0.252936,19.959319,C1
58.333333,56.181419,1.257143,9.41615,6.540199,20.696669,C1
16.666667,16.532553,6.4,3.167324,0.252936,26.010679,C1
72.222222,42.428676,4.114286,4.950787,20.271003,19.959319,C1
16.666667,36.21068,5.942857,18.75989,37.181572,47.800661,C1
47.222222,28.60278,3.428571,1.295358,13.333333,41.749301,C1
72.222222,23.04316,3.085714,5.84386,2.131888,20.56954,C1
55.555556,43.306511,4.685714,2.869633,14.652213,9.687262,C1
16.666667,25.018288,16,3.21828,58.121048,13.907958,C1
77.777778,19.092904,2.057143,5.84386,0.776874,24.205441,C1
30.555556,45.57425,15.771429,18.641886,0.885276,21.612001,C1
22.222222,25.018288,8.914286,3.760024,2.764228,36.308162,C1
38.888889,39.722019,19.428571,10.011532,2.131888,21.789982,C1
33.333333,60.204828,16.685714,4.210583,3.866305,19.959319,C1
50,28.09071,15.542857,2.274251,3.3785,19.069413,C1
38.888889,24.579371,7.428571,7.630005,4.64318,22.984999,C1
50,40.160936,12.342857,5.0822,33.387534,15.738622,C1
5.555556,85.369422,32.114286,5.522032,36.747967,8.466819,C1
52.777778,25.896123,0.571429,11.797677,17.850045,22.400203,C1
0,88.661302,24.8,23.367393,64.083107,7.068396,C1
30.555556,49.085589,9.828571,3.043956,9.647696,21.73913,C1
61.111111,28.09071,7.885714,15.249283,17.398374,19.069413,C1
11.111111,17.483541,12.914286,15.678387,60,12.22985,C1
50,57.278713,11.657143,8.700083,28.455285,18.154081,C1
2.777778,56.035113,14.285714,52.267546,31.364047,7.271803,C1
77.777778,46.08632,11.314286,4.020168,36.603433,6.05136,C1
61.111111,37.820044,14.514286,3.751978,58.121048,11.79761,C1
72.222222,43.306511,0.228571,4.653096,39.674797,11.492499,C1
72.222222,42.428676,11.314286,7.332314,10.894309,6.05136,C1
27.777778,19.604974,6.514286,1.692279,24.679313,26.6209,C1
30.555556,60.204828,12,3.942393,12.773261,21.73913,C1
66.666667,39.722019,8.114286,16.048489,23.089431,4.830918,C1
15.833333,39.722019,13.028571,79.681927,44.733514,10.882278,C1
47.222222,24.506218,3.085714,8.705447,20.307136,35.697941,C1
22.222222,25.018288,5.6,2.571942,1.499548,39.944063,C1
44.444444,3.877103,3.314286,12.390377,17.217706,19.959319,C1
13.888889,50.256035,6.514286,12.575428,29.611563,32.36715,C1
44.444444,30.943672,18.171429,7.630005,1.499548,26.6209,C1
50,56.181419,2.742857,5.84386,3.3785,39.333842,C1
11.111111,100,5.828571,50.878322,4.028907,32.519705,C1
0,22.457937,10.857143,16.584869,46.35953,13.323163,C1
44.444444,39.722019,7.085714,4.653096,4.64318,24.205441,C1
22.222222,25.018288,5.828571,3.462333,1.499548,6.05136,C1
