run;denclue;amr;descry;dbclasd;dhc;dbscan;clique;eda
0;93,13636292;85,47281992;88,45009437;91,99359231;97,4894292;90,0496281;85,50565199;99,99875973
1;93,01284503;86,34591239;91,22941981;91,51755591;95,85667509;91,91547917;84,83892583;99,98350868
2;92,95671152;81,17691869;87,34075791;89,09703509;97,91559538;90,09852457;85,16776708;97,91559538
3;97,53337542;82,77239328;86,77533556;93,06624755;94,45452086;86,27350648;84,23920146;97,54144121
4;90,98294761;78,57470837;89,1209983;90,19419324;99,46175289;83,13078334;84,79466485;99,46175289
5;94,89511788;80,83291688;86,13249509;91,31984782;94,71181558;91,42507074;85,27557108;97,85523983
6;94,55841873;76,96173433;90,19419324;89,80164669;94,41058853;91,91547917;85,09972975;99,99999681
7;92,55078668;80,0042092;84,79810647;91,99359231;95,24594655;95,55005841;85,67514571;99,99904188
8;93,77304781;83,3980585;91,06181565;91,99359231;92,76610326;87,31992454;84,45216984;99,99612863
9;92,28913854;84,22678453;90,19419324;93,67037896;99,99322845;86,6585785;83,89050463;99,99322845
10;93,01477397;73,15476454;91,17477392;91,99359231;99,99717068;86,27350648;84,18970429;99,99999631
11;92,66890124;76,42977396;91,99359231;91,99359231;99,97322692;90,92514787;84,82041915;99,9815357
12;95,90903955;75,94118601;92,12804625;91,99359231;99,75556614;95,52786405;84,60422931;99,75556614
13;96,08720714;85,99355307;93,06624755;93,06624755;96,38875731;90,09852457;85,92869476;97,92496762
14;93,80119882;80,80705779;91,93818398;91,22941981;98,8971124;91,87555536;84,47998757;99,99991789
15;95,68579772;80,16786798;87,59652654;90,19419324;99,95992081;90,0496281;84,58031538;99,99840492
16;95,74388888;76,04579108;89,25827689;90,09639714;95,65271503;89,40851818;85,56397451;96,10132536
17;95,9138821;77,51822422;90,19419324;91,99359231;99,32053069;91,87555536;83,87655729;99,77269921
18;94,09206051;82,40252413;86,45588631;91,72275987;91,96357643;87,2573065;84,21242221;97,33460464
19;94,84740693;84,59993449;89,25827689;93,06624755;94,81222084;90,80824017;86,01290286;99,98348376
20;93,18493613;85,20337051;85,62033984;91,99359231;99,73995549;90,0496281;84,04777726;99,73995549
21;94,31906859;74,91235601;92,58750683;91,70709493;93,83133654;95,57192557;84,65952061;97,1585049
22;93,83637656;82,09907846;86,13249509;91,99359231;99,26999433;95,55005841;83,79518749;99,55794838
23;92,50385415;77,77548981;89,04524732;91,99359231;98,84168721;92,07881966;83,59558039;98,84168721
24;93,45429269;81,31441105;86,21860401;91,99359231;97,91341402;95,52786405;84,56523745;99,97783263
25;92,40982216;78,43021238;89,29608246;92,78866756;97,94735963;86,20848374;86,29923371;99,99952619
26;94,33688503;80,99229984;88,28193845;89,74856567;95,70753753;92,11736577;85,27638324;97,32654689
27;92,87682832;78,52979622;88,66850924;93,06624755;94,8803923;95,52786405;85,29147156;99,99835227
28;90,57436367;80,98997178;93,06624755;91,79947176;96,67136409;86,20848374;84,80807638;99,64031098
29;93,3526221;81,12541391;94,75857582;91,99359231;95,33411884;92,11736577;84,95904546;99,35169163
