B1";F1";P1;B2";F2";P2;B3";F3";P3;B4";F4";P4;B5";F5";P5;B6";F6";P6;B7";F7";P7;B8";F8";P8;B9";F9";P9;B10";F10";P10
Equally Sized Grid->AMRTree->MergeByDistance";0.0"; {AMR_SLICES=24.444443} {AMR_SLICES=24.444443, AMR_LAMBDA=17.0, AMR_DENSITY=20.0} {DESCRY_DENSITY=20.666666, DESCRY_K=14.0};AttractionTree->DensityTree";97.21383362788683"; {DHC_MINPTS=10.0, DHC_THRESHOLD=37.77778, DHC_SIGMA=11.888889} {DHC_MINPTS=10.0, DHC_THRESHOLD=37.77778, DHC_SIGMA=11.888889};AttractionTree->DensityTree";97.21383362788683"; {DHC_MINPTS=10.0, DHC_THRESHOLD=37.77778, DHC_SIGMA=11.888889} {DHC_MINPTS=10.0, DHC_THRESHOLD=37.77778, DHC_SIGMA=11.888889};AttractionTree->DensityTree";97.21383362788683"; {DHC_MINPTS=10.0, DHC_THRESHOLD=37.77778, DHC_SIGMA=11.888889} {DHC_MINPTS=10.0, DHC_THRESHOLD=37.77778, DHC_SIGMA=11.888889};AttractionTree->DensityTree";97.21383362788683"; {DHC_MINPTS=10.0, DHC_THRESHOLD=37.77778, DHC_SIGMA=11.888889} {DHC_MINPTS=10.0, DHC_THRESHOLD=37.77778, DHC_SIGMA=11.888889};AttractionTree->DensityTree";97.21383362788683"; {DHC_MINPTS=10.0, DHC_THRESHOLD=37.77778, DHC_SIGMA=11.888889} {DHC_MINPTS=10.0, DHC_THRESHOLD=37.77778, DHC_SIGMA=11.888889};AttractionTree->DensityTree";97.21383362788683"; {DHC_MINPTS=11.666666, DHC_THRESHOLD=37.77778, DHC_SIGMA=11.888889} {DHC_MINPTS=11.666666, DHC_THRESHOLD=37.77778, DHC_SIGMA=11.888889};AttractionTree->DensityTree";97.21383362788683"; {DHC_MINPTS=11.666666, DHC_THRESHOLD=37.77778, DHC_SIGMA=11.888889} {DHC_MINPTS=11.666666, DHC_THRESHOLD=37.77778, DHC_SIGMA=11.888889};AttractionTree->DensityTree";97.21383362788683"; {DHC_MINPTS=11.666666, DHC_THRESHOLD=37.77778, DHC_SIGMA=11.888889} {DHC_MINPTS=11.666666, DHC_THRESHOLD=37.77778, DHC_SIGMA=11.888889};AttractionTree->DensityTree";97.37806610300373"; {DHC_MINPTS=13.333333, DHC_THRESHOLD=48.888885, DHC_SIGMA=15.0} {DHC_MINPTS=13.333333, DHC_THRESHOLD=48.888885, DHC_SIGMA=15.0}
AdaptableKDTree->MergeByDistance";0.0"; {DESCRY_DENSITY=53.444443, DESCRY_K=18.0} {DESCRY_DENSITY=53.444443, DESCRY_K=18.0};DistanceInformation->CandidatesByNpts->ClustersByDistribution";63.097584632081016"; {DPCI_DC_PERCENT=11.888889, DISTANCE_INFO=2.5555556} {DBCLASD_PTS=20.0} {DBCLASD_PTS=20.0};CandidatesByNpts->ClustersByDistribution";64.71360309776448"; {DBCLASD_PTS=11.555555} {DBCLASD_PTS=11.555555};AttractionTree->DensityTree";96.98113040820874"; {DHC_MINPTS=13.333333, DHC_THRESHOLD=37.77778, DHC_SIGMA=10.333334} {DHC_MINPTS=13.333333, DHC_THRESHOLD=37.77778, DHC_SIGMA=10.333334};AttractionTree->DensityTree";95.21815775239371"; {DHC_MINPTS=11.666666, DHC_THRESHOLD=26.666666, DHC_SIGMA=5.666667} {DHC_MINPTS=11.666666, DHC_THRESHOLD=26.666666, DHC_SIGMA=5.666667};AttractionTree->DensityTree";95.86903503868369"; {DHC_MINPTS=15.0, DHC_THRESHOLD=32.22222, DHC_SIGMA=7.2222223} {DHC_MINPTS=15.0, DHC_THRESHOLD=32.22222, DHC_SIGMA=7.2222223};DenseAreas->ClusterByPartition";81.95651203292589"; {CLIQUE_SLICES=19.444445, CLIQUE_THRESHOLD=0.3} {CLIQUE_SLICES=19.444445, CLIQUE_THRESHOLD=0.3};AttractionTree->DensityTree";97.07428723125764"; {DHC_MINPTS=8.333333, DHC_THRESHOLD=54.444443, DHC_SIGMA=15.0} {DHC_MINPTS=8.333333, DHC_THRESHOLD=54.444443, DHC_SIGMA=15.0};AdaptableKDTree->MergeByOverlap";84.81514808883199"; {DESCRY_DENSITY=20.666666, DESCRY_K=14.0} {PHC_RADIUS=28.666668, PHC_GRID=23.333334};AttractionTree->DensityTree";94.29286047571776"; {DHC_MINPTS=20.0, DHC_THRESHOLD=54.444443, DHC_SIGMA=7.2222223} {DHC_MINPTS=20.0, DHC_THRESHOLD=54.444443, DHC_SIGMA=7.2222223}
AdaptableKDTree->MergeByDistance";0.0"; {DESCRY_DENSITY=60.0, DESCRY_K=4.0} {DESCRY_DENSITY=60.0, DESCRY_K=4.0};DistanceInformation->CandidatesByNpts->ClustersByDistribution";0.0"; {DPCI_DC_PERCENT=99.0, DISTANCE_INFO=1.4444444} {DBCLASD_PTS=17.88889} {DBCLASD_PTS=17.88889};DistanceInformation->CandidatesByNpts->ClustersByDistribution";52.301031990871074"; {DPCI_DC_PERCENT=22.777779, DISTANCE_INFO=1.6666667} {DBCLASD_PTS=15.777779} {DBCLASD_PTS=15.777779};CandidatesByDistance->ClustersByDistribution";65.62470698451237"; {DBSCAN_NUM_PTS=9.444445, DBSCAN_MAX_DIST=50.0} {DBCLASD_PTS=3.1111112};ASH->AttractionTree->DensityTree";91.17253241949469"; {DENCLUE_EPSILON=11.155556, DENCLUE_SIGMA=40.333332} {DHC_MINPTS=8.333333, DHC_THRESHOLD=26.666666, DHC_SIGMA=2.5555556} {DHC_MINPTS=8.333333, DHC_THRESHOLD=26.666666, DHC_SIGMA=2.5555556};DenseAreas->ClusterByPartition";76.70488697664808"; {CLIQUE_SLICES=31.777779, CLIQUE_THRESHOLD=0.10000007} {CLIQUE_SLICES=31.777779, CLIQUE_THRESHOLD=0.10000007};CandidatesByNpts->ClustersByDistribution";81.77126551682237"; {DBCLASD_PTS=20.0} {DBCLASD_PTS=20.0};DistanceInformation->ClusterByDensityPeak";78.49947829016337"; {DPCI_DC_PERCENT=88.111115, DISTANCE_INFO=1.2222222} {DPCI_DC_PERCENT=88.111115, DISTANCE_INFO=1.2222222};CandidatesByNpts->ClusterByConnectiveness";77.82668185825662"; {DBCLASD_PTS=7.3333335} {DBSCAN_NUM_PTS=7.3333335, DBSCAN_MAX_DIST=50.0};DistanceInformation->CandidatesByNpts->ClustersByDistribution";0.0"; {DPCI_DC_PERCENT=22.777779, DISTANCE_INFO=2.1111112} {DBCLASD_PTS=3.1111112} {DBCLASD_PTS=3.1111112}
ASH->ClustersByAttractors";0.0"; {DENCLUE_EPSILON=6.733333, DENCLUE_SIGMA=60.0} {DENCLUE_EPSILON=6.733333, DENCLUE_SIGMA=60.0};CandidatesByNpts->ClusterByConnectiveness";0.0"; {DBCLASD_PTS=17.88889} {DBSCAN_NUM_PTS=17.88889, DBSCAN_MAX_DIST=28.222223};DistanceInformation->CandidatesByNpts->ClustersByDistribution";51.83539900610883"; {DPCI_DC_PERCENT=77.22223, DISTANCE_INFO=3.0} {DBCLASD_PTS=17.88889} {DBCLASD_PTS=17.88889};ClustersByAttractors";0.0"; {DENCLUE_EPSILON=8.944445, DENCLUE_SIGMA=40.333332};AdaptableKDTree->MergeByOverlap";84.81514808883199"; {DESCRY_DENSITY=14.111111, DESCRY_K=4.0} {PHC_RADIUS=18.0, PHC_GRID=44.666668};CandidatesByNpts->ClustersByDistribution";71.56213340831737"; {DBCLASD_PTS=7.3333335} {DBCLASD_PTS=7.3333335};CandidatesBySNN->SNNByConnectiveness";76.0210309448714"; {K_THRESHOLD=45.555557} {K_THRESHOLD=45.555557, SNN_NUM_PTS=17.555555, SNN_MAX_DIST=34.0};DistanceInformation->ClusterByDensityPeak";74.09857524089614"; {DPCI_DC_PERCENT=11.888889, DISTANCE_INFO=3.0} {DPCI_DC_PERCENT=11.888889, DISTANCE_INFO=3.0};Equally Sized Grid->AMRTree->MergeByOverlap";0.0"; {AMR_SLICES=24.444443} {AMR_SLICES=24.444443, AMR_LAMBDA=6.3333335, AMR_DENSITY=17.88889} {PHC_RADIUS=23.333334, PHC_GRID=12.666667};ASH->ClustersByDistribution";0.0"; {DENCLUE_EPSILON=17.788889, DENCLUE_SIGMA=60.0} {DBCLASD_PTS=13.666667}
CandidatesByDistance->ClusterByConnectiveness";0.0"; {DBSCAN_NUM_PTS=17.88889, DBSCAN_MAX_DIST=11.888889} {DBSCAN_NUM_PTS=17.88889, DBSCAN_MAX_DIST=11.888889};CandidatesByDistance->ClustersByDistribution";0.0"; {DBSCAN_NUM_PTS=11.555555, DBSCAN_MAX_DIST=17.333334} {DBCLASD_PTS=11.555555};DenseAreas->ClusterByPartition";0.0"; {CLIQUE_SLICES=7.111111, CLIQUE_THRESHOLD=0.20000005} {CLIQUE_SLICES=7.111111, CLIQUE_THRESHOLD=0.20000005};AdaptableKDTree->MergeByOverlap";0.0"; {DESCRY_DENSITY=27.222221, DESCRY_K=18.0} {PHC_RADIUS=50.0, PHC_GRID=34.0};DistanceInformation->ClusterByDensityPeak";79.70676548274007"; {DPCI_DC_PERCENT=55.444447, DISTANCE_INFO=3.0} {DPCI_DC_PERCENT=55.444447, DISTANCE_INFO=3.0};CandidatesByNpts->ClusterByConnectiveness";0.0"; {DBCLASD_PTS=13.666667} {DBSCAN_NUM_PTS=20.0, DBSCAN_MAX_DIST=44.555557};DistanceInformation->ClusterByDensityPeak";63.15621456047147"; {DPCI_DC_PERCENT=88.111115, DISTANCE_INFO=2.5555556} {DPCI_DC_PERCENT=88.111115, DISTANCE_INFO=2.5555556};CandidatesByNpts->ClusterByConnectiveness";0.0"; {DBCLASD_PTS=5.2222223} {DBSCAN_NUM_PTS=11.555555, DBSCAN_MAX_DIST=44.555557};CandidatesBySNN->ClusterByConnectiveness";0.0"; {K_THRESHOLD=27.777779} {DBSCAN_NUM_PTS=13.666667, DBSCAN_MAX_DIST=50.0};CandidatesByDistance->ClusterByConnectiveness";0.0"; {DBSCAN_NUM_PTS=3.1111112, DBSCAN_MAX_DIST=28.222223} {DBSCAN_NUM_PTS=3.1111112, DBSCAN_MAX_DIST=28.222223}
ClustersByAttractors";0.0"; {DENCLUE_EPSILON=4.522222, DENCLUE_SIGMA=20.666666};ClustersByAttractors";0.0"; {DENCLUE_EPSILON=15.577778, DENCLUE_SIGMA=14.111111};ASH->ClustersByDistribution";0.0"; {DENCLUE_EPSILON=8.944445, DENCLUE_SIGMA=60.0} {DBCLASD_PTS=17.88889};ClustersByAttractors";0.0"; {DENCLUE_EPSILON=20.0, DENCLUE_SIGMA=46.888885};CandidatesByDistance->ClustersByDistribution";65.62470698451237"; {DBSCAN_NUM_PTS=7.3333335, DBSCAN_MAX_DIST=50.0} {DBCLASD_PTS=11.555555};DenseAreas->AMRTree->MergeByOverlap";0.0"; {CLIQUE_SLICES=11.222222, CLIQUE_THRESHOLD=0.16666673} {AMR_SLICES=10.555555, AMR_LAMBDA=25.0, AMR_DENSITY=9.444445} {PHC_RADIUS=28.666668, PHC_GRID=34.0};CandidatesBySNN->SNNByConnectiveness";0.0"; {K_THRESHOLD=41.111115} {K_THRESHOLD=41.111115, SNN_NUM_PTS=5.111111, SNN_MAX_DIST=67.0};CandidatesBySNN->ClusterByConnectiveness";0.0"; {K_THRESHOLD=50.0} {DBSCAN_NUM_PTS=20.0, DBSCAN_MAX_DIST=22.777779};AdaptableKDTree->MergeByDistance";0.0"; {DESCRY_DENSITY=53.444443, DESCRY_K=20.0} {DESCRY_DENSITY=53.444443, DESCRY_K=20.0};CandidatesByDistance->ClusterByConnectiveness";0.0"; {DBSCAN_NUM_PTS=13.666667, DBSCAN_MAX_DIST=22.777779} {DBSCAN_NUM_PTS=13.666667, DBSCAN_MAX_DIST=22.777779}
ClustersByAttractors";0.0"; {DENCLUE_EPSILON=2.311111, DENCLUE_SIGMA=27.222221};CandidatesBySNN->MergeByDistance";0.0"; {K_THRESHOLD=18.88889} {DESCRY_DENSITY=14.111111, DESCRY_K=16.0};ClustersByAttractors";0.0"; {DENCLUE_EPSILON=20.0, DENCLUE_SIGMA=20.666666};DenseAreas->AMRTree->MergeByOverlap";0.0"; {CLIQUE_SLICES=31.777779, CLIQUE_THRESHOLD=0.20000005} {AMR_SLICES=18.88889, AMR_LAMBDA=25.0, AMR_DENSITY=5.2222223} {PHC_RADIUS=50.0, PHC_GRID=34.0};DenseAreas->AMRTree->MergeByDistance";0.0"; {CLIQUE_SLICES=31.777779, CLIQUE_THRESHOLD=0.23333336} {AMR_SLICES=30.0, AMR_LAMBDA=3.6666667, AMR_DENSITY=11.555555} {DESCRY_DENSITY=53.444443, DESCRY_K=20.0};DenseAreas->ClustersByAttractors";0.0"; {CLIQUE_SLICES=15.333334, CLIQUE_THRESHOLD=0.20000005} {DENCLUE_EPSILON=8.944445, DENCLUE_SIGMA=53.444443};ClustersByAttractors";0.0"; {DENCLUE_EPSILON=11.155556, DENCLUE_SIGMA=27.222221};CandidatesByDistance->ClusterByConnectiveness";0.0"; {DBSCAN_NUM_PTS=13.666667, DBSCAN_MAX_DIST=17.333334} {DBSCAN_NUM_PTS=13.666667, DBSCAN_MAX_DIST=17.333334};AdaptableKDTree->ClustersAMR";0.0"; {DESCRY_DENSITY=60.0, DESCRY_K=14.0} {AMR_SLICES=10.555555, AMR_LAMBDA=25.0, AMR_DENSITY=17.88889};AdaptableKDTree->MergeByOverlap";0.0"; {DESCRY_DENSITY=53.444443, DESCRY_K=20.0} {PHC_RADIUS=23.333334, PHC_GRID=18.0}
AdaptableKDTree->MergeByDistance";84.81514808883199"; {DESCRY_DENSITY=20.666666, DESCRY_K=16.0} {DESCRY_DENSITY=20.666666, DESCRY_K=16.0};CandidatesBySNN->SNNByConnectiveness";0.0"; {K_THRESHOLD=41.111115} {K_THRESHOLD=41.111115, SNN_NUM_PTS=5.111111, SNN_MAX_DIST=89.0};ASH->ClustersByDistribution";0.0"; {DENCLUE_EPSILON=2.311111, DENCLUE_SIGMA=33.77778} {DBCLASD_PTS=9.444445};Equally Sized Grid->AMRTree->MergeByOverlap";0.0"; {AMR_SLICES=24.444443} {AMR_SLICES=24.444443, AMR_LAMBDA=17.0, AMR_DENSITY=5.2222223} {PHC_RADIUS=34.0, PHC_GRID=44.666668};ClustersByAttractors";0.0"; {DENCLUE_EPSILON=17.788889, DENCLUE_SIGMA=33.77778};DenseAreas->AMRTree->ClustersAMR";0.0"; {CLIQUE_SLICES=15.333334, CLIQUE_THRESHOLD=0.23333336} {AMR_SLICES=13.333333, AMR_LAMBDA=22.333334, AMR_DENSITY=9.444445} {AMR_SLICES=13.333333, AMR_LAMBDA=22.333334, AMR_DENSITY=9.444445};DistanceInformation->CandidatesByNpts->ClusterByConnectiveness";0.0"; {DPCI_DC_PERCENT=33.666668, DISTANCE_INFO=2.5555556} {DBCLASD_PTS=15.777779} {DBSCAN_NUM_PTS=15.777779, DBSCAN_MAX_DIST=28.222223};ClustersByAttractors";0.0"; {DENCLUE_EPSILON=20.0, DENCLUE_SIGMA=14.111111};ASH->ClustersByDistribution";0.0"; {DENCLUE_EPSILON=13.366667, DENCLUE_SIGMA=27.222221} {DBCLASD_PTS=15.777779};AdaptableKDTree->ClustersAMR";0.0"; {DESCRY_DENSITY=33.77778, DESCRY_K=12.0} {AMR_SLICES=21.666666, AMR_LAMBDA=3.6666667, AMR_DENSITY=11.555555}
CandidatesByNpts->ClusterByConnectiveness";0.0"; {DBCLASD_PTS=20.0} {DBSCAN_NUM_PTS=20.0, DBSCAN_MAX_DIST=6.4444447};DistanceInformation->CandidatesByNpts->ClusterByConnectiveness";0.0"; {DPCI_DC_PERCENT=55.444447, DISTANCE_INFO=3.0} {DBCLASD_PTS=9.444445} {DBSCAN_NUM_PTS=11.555555, DBSCAN_MAX_DIST=39.111115};AdaptableKDTree->ClustersAMR";0.0"; {DESCRY_DENSITY=46.888885, DESCRY_K=18.0} {AMR_SLICES=30.0, AMR_LAMBDA=14.333334, AMR_DENSITY=17.88889};DenseAreas->ClustersByAttractors";0.0"; {CLIQUE_SLICES=15.333334, CLIQUE_THRESHOLD=0.3} {DENCLUE_EPSILON=4.522222, DENCLUE_SIGMA=40.333332};CandidatesByNpts->ClustersByDistribution";0.0"; {DBCLASD_PTS=17.88889} {DBCLASD_PTS=17.88889};DenseAreas->ClustersByAttractors";0.0"; {CLIQUE_SLICES=15.333334, CLIQUE_THRESHOLD=0.26666668} {DENCLUE_EPSILON=6.733333, DENCLUE_SIGMA=14.111111};ASH->ClustersByDistribution";0.0"; {DENCLUE_EPSILON=20.0, DENCLUE_SIGMA=60.0} {DBCLASD_PTS=15.777779};CandidatesByNpts->ClustersByDistribution";0.0"; {DBCLASD_PTS=9.444445} {DBCLASD_PTS=9.444445};CandidatesByNpts->ClustersByDistribution";0.0"; {DBCLASD_PTS=20.0} {DBCLASD_PTS=20.0};CandidatesByNpts->ClusterByConnectiveness";0.0"; {DBCLASD_PTS=20.0} {DBSCAN_NUM_PTS=13.666667, DBSCAN_MAX_DIST=50.0}
CandidatesByDistance->ClusterByConnectiveness";0.0"; {DBSCAN_NUM_PTS=20.0, DBSCAN_MAX_DIST=33.666668} {DBSCAN_NUM_PTS=20.0, DBSCAN_MAX_DIST=33.666668};CandidatesByDistance->ClusterByConnectiveness";0.0"; {DBSCAN_NUM_PTS=9.444445, DBSCAN_MAX_DIST=28.222223} {DBSCAN_NUM_PTS=9.444445, DBSCAN_MAX_DIST=28.222223};Equally Sized Grid->AMRTree->MergeByOverlap";0.0"; {AMR_SLICES=13.333333} {AMR_SLICES=13.333333, AMR_LAMBDA=14.333334, AMR_DENSITY=17.88889} {PHC_RADIUS=44.666668, PHC_GRID=7.3333335};Equally Sized Grid->AMRTree->MergeByOverlap";0.0"; {AMR_SLICES=7.7777777} {AMR_SLICES=7.7777777, AMR_LAMBDA=17.0, AMR_DENSITY=5.2222223} {PHC_RADIUS=34.0, PHC_GRID=50.0};CandidatesByNpts->ClusterByConnectiveness";0.0"; {DBCLASD_PTS=9.444445} {DBSCAN_NUM_PTS=7.3333335, DBSCAN_MAX_DIST=28.222223};ASH->ClustersByAttractors";0.0"; {DENCLUE_EPSILON=20.0, DENCLUE_SIGMA=14.111111} {DENCLUE_EPSILON=20.0, DENCLUE_SIGMA=14.111111};AdaptableKDTree->MergeByDistance";0.0"; {DESCRY_DENSITY=46.888885, DESCRY_K=4.0} {DESCRY_DENSITY=46.888885, DESCRY_K=4.0};CandidatesBySNN->ClusterByConnectiveness";0.0"; {K_THRESHOLD=45.555557} {DBSCAN_NUM_PTS=20.0, DBSCAN_MAX_DIST=17.333334};CandidatesByDistance->ClusterByConnectiveness";0.0"; {DBSCAN_NUM_PTS=20.0, DBSCAN_MAX_DIST=11.888889} {DBSCAN_NUM_PTS=20.0, DBSCAN_MAX_DIST=11.888889};DenseAreas->AMRTree->MergeByOverlap";0.0"; {CLIQUE_SLICES=31.777779, CLIQUE_THRESHOLD=0.3} {AMR_SLICES=10.555555, AMR_LAMBDA=14.333334, AMR_DENSITY=20.0} {PHC_RADIUS=23.333334, PHC_GRID=23.333334}
