Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Cluster
0.842,0.297,0.825,0.000362,0.002,0.000245,C1
0.813,0.351,0.791,0.000486,0.002,0.000174,C1
0.864,0.179,0.826,0.000377,0.002,0.000235,C1
0.837,0.274,0.813,0.000381,0.002,0.000253,C1
0.859,0.224,0.837,0.000372,0.002,0.000246,C1
0.816,0.304,0.792,0.000405,0.002,0.000278,C1
0.87,0.215,0.831,0.000377,0.002,0.000243,C1
0.801,0.418,0.787,0.000477,0.002,0.000199,C1
0.806,0.317,0.783,0.000512,0.002,0.000126,C1
0.8,0.373,0.773,0.000508,0.002,0.000183,C1
0.824,0.346,0.793,0.000473,0.002,0.000154,C1
0.818,0.293,0.789,0.000396,0.002,0.000259,C1
0.859,0.258,0.827,0.000366,0.002,0.000239,C1
0.838,0.215,0.813,0.000385,0.002,0.000248,C1
0.82,0.244,0.789,0.000411,0.002,0.000261,C1
0.822,0.338,0.791,0.000378,0.002,0.000251,C1
0.815,0.295,0.776,0.000512,0.002,0.000083,C1
0.807,0.347,0.778,0.000511,0.002,0.000169,C1
0.837,0.261,0.811,0.000378,0.002,0.000246,C1
0.833,0.36,0.804,0.000459,0.002,0.000174,C1
0.821,0.361,0.801,0.000373,0.002,0.000261,C1
0.821,0.306,0.788,0.000493,0.002,0.000111,C1
0.86,0.194,0.837,0.000374,0.002,0.000243,C1
0.826,0.34,0.788,0.000478,0.002,0.000152,C1
0.825,0.275,0.792,0.000395,0.002,0.000251,C1
0.818,0.397,0.794,0.000359,0.002,0.000247,C1
0.798,0.388,0.782,0.000493,0.002,0.000162,C1
0.843,0.259,0.811,0.000375,0.002,0.000242,C1
0.821,0.322,0.782,0.000393,0.002,0.000255,C1
0.856,0.277,0.814,0.00037,0.002,0.000238,C1
0.843,0.27,0.818,0.000375,0.002,0.000249,C1
0.864,0.18,0.826,0.000386,0.002,0.000247,C1
0.83,0.237,0.8,0.000392,0.002,0.000249,C1
0.821,0.272,0.785,0.000401,0.002,0.000253,C1
0.828,0.255,0.795,0.000395,0.002,0.00025,C1
0.836,0.292,0.796,0.000481,0.002,0.000121,C1
0.858,0.199,0.831,0.000373,0.002,0.00024,C1
0.859,0.292,0.829,0.000372,0.002,0.00025,C1
0.829,0.3,0.791,0.000487,0.002,0.000122,C1
0.857,0.222,0.826,0.00038,0.002,0.000249,C1
0.868,0.187,0.837,0.000371,0.002,0.000236,C1
0.811,0.356,0.784,0.000386,0.002,0.000257,C1
0.825,0.285,0.788,0.000497,0.002,0.000101,C1
0.836,0.329,0.8,0.000371,0.002,0.000247,C1
0.819,0.293,0.783,0.000401,0.002,0.000256,C1
0.836,0.229,0.811,0.000388,0.002,0.000253,C1
0.813,0.341,0.794,0.000384,0.002,0.000263,C1
