1,92.56705853752834,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 4.666667,DESCRY_DENSITY - 3.0],}
2,92.7229383857418,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:EUCLIDEAN,DBSCAN_MAX_DIST - 66.666664,DBSCAN_NUM_PTS - 4.666667],MergeByOverlap[DISTANCE:BRAYCURTIS],}
3,93.02988284528628,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:EUCLIDEAN,DBSCAN_MAX_DIST - 66.666664,DBSCAN_NUM_PTS - 5.0],MergeByOverlap[DISTANCE:CHEBYCHEV],}
4,93.02988284528628,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:EUCLIDEAN,DBSCAN_MAX_DIST - 66.666664,DBSCAN_NUM_PTS - 5.0],MergeByOverlap[DISTANCE:CHEBYCHEV],}
5,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.0],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.0],}
6,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.0],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.0],}
7,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.0],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.0],}
8,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.0],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.0],}
9,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
10,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
11,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
12,96.58643354219839,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 4.3333335],}
