1,92.92684949274786,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 2.6666667],MergeByOverlap[DISTANCE:EUCLIDEAN],}
2,92.92684949274786,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 2.6666667],MergeByOverlap[DISTANCE:EUCLIDEAN],}
3,92.92684949274786,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 2.6666667],MergeByOverlap[DISTANCE:EUCLIDEAN],}
4,92.92684949274786,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 2.6666667],MergeByOverlap[DISTANCE:EUCLIDEAN],}
5,92.92684949274786,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 2.6666667],MergeByOverlap[DISTANCE:EUCLIDEAN],}
6,92.92684949274786,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 2.6666667],MergeByOverlap[DISTANCE:EUCLIDEAN],}
7,94.02385695332804,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 83.33333,DBSCAN_NUM_PTS - 3.0],MergeByDistance[DISTANCE:MANHATTAN,DESCRY_K - 10.0,DESCRY_DENSITY - 9.0],}
8,97.24341076790014,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:EUCLIDEAN,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 3.0],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 3.0],}
9,97.24341076790014,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:EUCLIDEAN,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 3.0],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 3.0],}
10,97.24341076790014,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:EUCLIDEAN,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 3.0],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 3.0],}
11,97.24341076790014,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:EUCLIDEAN,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 3.0],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 3.0],}
12,97.24341076790014,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:EUCLIDEAN,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 3.0],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 3.0],}
13,97.24341076790014,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:EUCLIDEAN,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 3.0],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 3.0],}
14,97.24341076790014,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:EUCLIDEAN,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 3.0],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 3.0],}
15,97.24341076790014,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:EUCLIDEAN,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 3.0],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 3.0],}
16,97.24341076790014,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:EUCLIDEAN,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 3.0],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 3.0],}
17,97.24341076790014,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByDistance[DISTANCE:EUCLIDEAN,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 3.0],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 100.0,DBSCAN_NUM_PTS - 3.0],}
