1,99.63412154196827,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:BRAYCURTIS,DHC_SIGMA - 2.7777777,DHC_THRESHOLD - 33.333332,DHC_MINPTS - 8.888889],DensityTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.7777777,DHC_THRESHOLD - 33.333332,DHC_MINPTS - 8.888889],}
2,99.92136582267568,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 43.333332,DHC_MINPTS - 8.333334],DensityTree[DISTANCE:MANHATTAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 43.333332,DHC_MINPTS - 8.333334],}
3,99.92136582267568,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 43.333332,DHC_MINPTS - 8.333334],DensityTree[DISTANCE:MANHATTAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 43.333332,DHC_MINPTS - 8.333334],}
4,99.92591028357594,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 30.0,DHC_MINPTS - 8.333334],DensityTree[DISTANCE:EUCLIDEAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 30.0,DHC_MINPTS - 8.333334],}
5,99.92591028357594,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 30.0,DHC_MINPTS - 8.333334],DensityTree[DISTANCE:EUCLIDEAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 30.0,DHC_MINPTS - 8.333334],}
6,99.92591028357594,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 30.0,DHC_MINPTS - 8.333334],DensityTree[DISTANCE:EUCLIDEAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 30.0,DHC_MINPTS - 8.333334],}
7,99.92591028357594,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 30.0,DHC_MINPTS - 8.333334],DensityTree[DISTANCE:EUCLIDEAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 30.0,DHC_MINPTS - 8.333334],}
8,99.92591028357594,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 30.0,DHC_MINPTS - 8.333334],DensityTree[DISTANCE:EUCLIDEAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 30.0,DHC_MINPTS - 8.333334],}
9,99.92591028357594,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 30.0,DHC_MINPTS - 8.333334],DensityTree[DISTANCE:EUCLIDEAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 30.0,DHC_MINPTS - 8.333334],}
10,99.92591028357594,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 30.0,DHC_MINPTS - 8.333334],DensityTree[DISTANCE:EUCLIDEAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 30.0,DHC_MINPTS - 8.333334],}
11,99.92591028357594,{Reading Instances[DISTANCE:EUCLIDEAN],AttractionTree[DISTANCE:CHEBYCHEV,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 30.0,DHC_MINPTS - 8.333334],DensityTree[DISTANCE:EUCLIDEAN,DHC_SIGMA - 2.3333335,DHC_THRESHOLD - 30.0,DHC_MINPTS - 8.333334],}
