@relation sinteticDataXY-2

@attribute x real
@attribute y real
@attribute cluster {C00,C01,C02,C03}

@data
0.5,2.5,C00
0.5,2,C00
0.5,1.5,C00
0.5,1,C00
0.5,0.5,C00
1,2.5,C00
1,2,C00
1,1.5,C00
1,1,C00
1,0.5,C00
1.5,2.5,C00
1.5,2,C00
1.5,1.5,C00
1.5,1,C00
1.5,0.5,C00
2,2.5,C00
2,2,C00
2,1.5,C00
2,1,C00
2,0.5,C00
2.5,2.5,C00
2.5,2,C00
2.5,1.5,C00
2.5,1,C00
2.5,0.5,C00
3,2.5,C00
3,2,C00
3,1.5,C00
3,1,C00
3,0.5,C00
9,2.5,C01
9,2,C01
9,1.5,C01
9,1,C01
9,0.5,C01
9.5,2.5,C01
9.5,2,C01
9.5,1.5,C01
9.5,1,C01
9.5,0.5,C01
10,2.5,C01
10,2,C01
10,1.5,C01
10,1,C01
10,0.5,C01
10.5,2.5,C01
10.5,2,C01
10.5,1.5,C01
10.5,1,C01
10.5,0.5,C01
11,2.5,C01
11,2,C01
11,1.5,C01
11,1,C01
11,0.5,C01
11.5,2.5,C01
11.5,2,C01
11.5,1.5,C01
11.5,1,C01
11.5,0.5,C01
9,5.5,C02
9,5,C02
9,4.5,C02
9,4,C02
9,3.5,C02
9.5,5.5,C02
9.5,5,C02
9.5,4.5,C02
9.5,4,C02
9.5,3.5,C02
10,5.5,C02
10,5,C02
10,4.5,C02
10,4,C02
10,3.5,C02
10.5,5.5,C02
10.5,5,C02
10.5,4.5,C02
10.5,4,C02
10.5,3.5,C02
11,5.5,C02
11,5,C02
11,4.5,C02
11,4,C02
11,3.5,C02
11.5,5.5,C02
11.5,5,C02
11.5,4.5,C02
11.5,4,C02
11.5,3.5,C02
0.5,5.5,C03
0.5,5,C03
0.5,4.5,C03
0.5,4,C03
0.5,3.5,C03
1,5.5,C03
1,5,C03
1,4.5,C03
1,4,C03
1,3.5,C03
1.5,5.5,C03
1.5,5,C03
1.5,4.5,C03
1.5,4,C03
1.5,3.5,C03
2,5.5,C03
2,5,C03
2,4.5,C03
2,4,C03
2,3.5,C03
2.5,5.5,C03
2.5,5,C03
2.5,4.5,C03
2.5,4,C03
2.5,3.5,C03
3,5.5,C03
3,5,C03
3,4.5,C03
3,4,C03
3,3.5,C03
