Attribute1,Attribute2,Cluster
0.115748,0.862198,C1
0.036464,0.759235,C1
0.108373,0.882126,C1
0.110217,0.684503,C1
0.209783,0.996714,C1
0.141562,0.77086,C1
0.141562,0.956858,C1
0.078872,0.727682,C1
0.139718,0.711075,C1
0.211627,0.779163,C1
0.065965,0.742628,C1
0.189501,0.872162,C1
0.185813,0.868841,C1
0.189501,0.91534,C1
0.187657,0.833966,C1
0.032777,0.634683,C1
0.080716,0.965161,C1
0.124967,0.745949,C1
0.112061,0.89043,C1
0.172907,0.805734,C1
0.049371,0.857216,C1
0.158156,0.644647,C1
0.09731,0.980107,C1
0.071497,0.857216,C1
0.182126,0.631361,C1
0.01987,0.898733,C1
0.207939,0.744289,C1
0.202408,0.599808,C1
0.137874,0.935269,C1
0.156312,0.792449,C1
0.051215,0.731003,C1
0.088091,0.672879,C1
0.143406,0.975125,C1
0.075184,0.696128,C1
0.056746,0.606451,C1
0.021714,0.868841,C1
0.089935,1,C1
0.049371,0.709414,C1
0.178438,0.654611,C1
0.163688,0.940251,C1
0.158156,0.804074,C1
0.13603,0.77086,C1
0.147093,0.659593,C1
0.139718,0.714396,C1
0.023557,0.9635,C1
0.095466,0.704432,C1
0.172907,0.752592,C1
0.062278,0.882126,C1
0.023557,0.878805,C1
0.025401,0.721039,C1
0.05859,0.774181,C1
0.19872,0.832305,C1
0.010651,0.684503,C1
0.014338,0.659593,C1
0.150781,0.636343,C1
0.056746,0.682843,C1
0.161844,0.687825,C1
0.040152,0.908697,C1
0.089935,0.935269,C1
0.027245,0.777502,C1
0.119436,0.651289,C1
0.128655,0.727682,C1
0.187657,0.777502,C1
0.126811,0.990072,C1
0.100998,0.639665,C1
0.106529,0.785806,C1
0.075184,0.644647,C1
0.008807,0.988411,C1
0.113905,0.789127,C1
0.089935,0.614754,C1
0.204252,0.739306,C1
0.008807,0.917001,C1
0.065965,0.921983,C1
0.065965,0.785806,C1
0.01987,0.807395,C1
0.145249,0.77086,C1
0.181818,0.4,C1
0.078872,0.787467,C1
0.187657,0.692807,C1
0.012495,0.646307,C1
0.08256,0.893751,C1
0.091779,0.764217,C1
0.047527,0.654611,C1
0.102842,0.800752,C1
0.043839,0.936929,C1
0.047527,0.838948,C1
0.169219,0.996714,C1
0.209783,0.664575,C1
0.003275,0.27099,C2
0.038308,0.266008,C2
0.095466,0.045135,C2
0.090909,0,C2
0.132343,0.207883,C2
0.077028,0.239437,C2
0.178438,0.307525,C2
0,0.4,C2
0.045455,0.2,C2
0.171063,0.241097,C2
0.113905,0.159723,C2
0.137874,0.111563,C2
0.171063,0.29424,C2
0.08256,0.317489,C2
0.152625,0.038492,C2
0.191345,0.29424,C2
0.090909,0.1,C2
0.071497,0.202901,C2
0.18397,0.035171,C2
0.018026,0.325793,C2
0.161844,0.352364,C2
0.158156,0.15142,C2
0.195033,0.129831,C2
0.03462,0.372292,C2
0.204252,0.025207,C2
0,0.373953,C2
0.027245,0.236115,C2
0.027245,0.274311,C2
0.095466,0.209544,C2
0.056746,0.17633,C2
0.054902,0.207883,C2
0.172907,0.249401,C2
0.154469,0.023546,C2
0.113905,0.106581,C2
0.156312,0.098277,C2
0.054902,0.138134,C2
0.045455,0.4,C2
0.045455,0,C2
0.056746,0.156402,C2
0.189501,0.177991,C2
0.172907,0.173009,C2
0.115748,0.285936,C2
0.180282,0.101599,C2
0.145249,0.252722,C2
0.167375,0.133152,C2
0.115748,0.050117,C2
0.158156,0.073367,C2
0.19872,0.066724,C2
0.132343,0.025207,C2
0.207939,0.24774,C2
0.089935,0.05676,C2
0.069653,0.036832,C2
0.211627,0.182973,C2
0.084403,0.261026,C2
0.145249,0.236115,C2
0,0.141456,C2
0.021714,0.084992,C2
0.102842,0.070046,C2
0.016182,0.202901,C2
0.117592,0.242758,C2
0.182126,0.378935,C2
0.19872,0.287597,C2
0.045455,0.1,C2
0.113905,0.344061,C2
0,0,C2
0.123124,0.3424,C2
0.148937,0.320811,C2
0.102842,0.133152,C2
0.102842,0.378935,C2
0.161844,0.196259,C2
0.181818,0.3,C2
0.01987,0.169687,C2
0.069653,0.073367,C2
0,0.3,C2
0.128655,0.267669,C2
0.123124,0.163045,C2
0.169219,0.060081,C2
0.099154,0.164705,C2
0.023557,0.154741,C2
0.136364,0.1,C2
0.143406,0.141456,C2
0.180282,0.139795,C2
0.13603,0.3424,C2
0.053059,0.354025,C2
0.093623,0.334096,C2
0.136364,0.3,C2
0.193189,0.352364,C2
0.136364,0.4,C2
0.777679,0.792449,C3
0.215315,0.707753,C3
0.891996,0.633022,C3
0.952842,0.998375,C3
0.978655,0.737646,C3
0.939935,0.787467,C3
0.224534,0.950215,C3
0.770304,0.955197,C3
0.797961,0.822341,C3
0.230065,0.745949,C3
0.910434,0.634683,C3
0.224534,0.905376,C3
0.888308,0.955197,C3
0.773991,0.731003,C3
0.851432,0.96184,C3
0.897527,0.98675,C3
0.86987,0.740967,C3
0.978655,0.912019,C3
0.215315,0.848912,C3
0.83115,0.943572,C3
0.877245,0.888769,C3
0.890152,0.792449,C3
0.797961,0.89043,C3
0.842213,0.870501,C3
0.842213,0.877144,C3
0.939935,0.990072,C3
0.83115,0.812377,C3
0.949154,0.754253,C3
0.93256,0.65295,C3
0.866182,0.847252,C3
0.899371,0.837288,C3
0.94731,0.923644,C3
0.88462,0.837288,C3
0.814555,0.865519,C3
0.770304,0.863859,C3
0.838525,0.692807,C3
0.79243,0.692807,C3
0.917809,0.72436,C3
0.849588,0.971804,C3
0.215315,0.832305,C3
0.825618,0.712735,C3
0.877245,0.744289,C3
0.80718,0.96184,C3
0.834837,0.870501,C3
0.862495,0.815698,C3
0.917809,0.888769,C3
0.980499,0.850573,C3
0.821931,0.877144,C3
0.810868,0.787467,C3
0.936247,0.973465,C3
0.90859,0.682843,C3
0.215315,0.900394,C3
0.777679,0.815698,C3
0.853275,0.91368,C3
0.849588,0.995054,C3
0.891996,0.757574,C3
0.950998,0.878805,C3
0.856963,0.828984,C3
0.934403,0.757574,C3
0.965748,0.953536,C3
0.879089,0.711075,C3
0.888308,0.96184,C3
0.943623,0.677861,C3
0.871714,0.726021,C3
0.832993,0.664575,C3
0.770304,0.98675,C3
0.938091,0.878805,C3
0.820087,0.852234,C3
0.941779,0.755913,C3
0.90859,0.706092,C3
0.838525,0.679521,C3
0.818243,0.727682,C3
0.915965,0.800752,C3
0.821931,0.639665,C3
0.838525,0.764217,C3
0.215315,0.858877,C3
0.973124,0.897073,C3
0.801649,0.669557,C3
0.770304,0.908697,C3
0.899371,0.777502,C3
0.766616,0.662914,C3
0.893839,0.998375,C3
0.230065,0.692807,C3
0.860651,0.65295,C3
0.875401,0.787467,C3
0.814555,0.646307,C3
0.871714,0.910358,C3
0.915965,0.666236,C3
0.978655,0.677861,C3
0.954685,0.108242,C4
0.770304,0.035171,C4
0.829306,0.322472,C4
0.930716,0.274311,C4
0.927028,0.035171,C4
0.213471,0.144777,C4
0.22269,0.332436,C4
0.838525,0.011921,C4
0.836681,0.359007,C4
0.991562,0.363989,C4
0.773991,0.212866,C4
0.906746,0.08167,C4
0.927028,0.053439,C4
0.987874,0.254383,C4
0.868026,0.217848,C4
0.912278,0.362328,C4
0.919653,0.216187,C4
0.987874,0.12817,C4
0.923341,0.372292,C4
0.877245,0.111563,C4
0.928872,0.084992,C4
0.810868,0.337418,C4
0.873557,0.133152,C4
0.891996,0.070046,C4
0.805336,0.086653,C4
0.227273,0,C4
0.891996,0.352364,C4
0.866182,0.186294,C4
0.805336,0.206223,C4
0.227273,0.1,C4
0.952842,0.073367,C4
0.772148,0.382257,C4
0.80718,0.043474,C4
0.799805,0.083331,C4
0.98603,0.214526,C4
0.903059,0.174669,C4
0.8459,0.256044,C4
0.891996,0.397203,C4
0.950998,0.267669,C4
0.880933,0.10326,C4
0.770304,0.621397,C4
0.227273,0.4,C4
0.772148,0.005278,C4
0.958373,0.108242,C4
0.805336,0.274311,C4
0.803492,0.36731,C4
0.853275,0.398864,C4
0.875401,0.330775,C4
0.954685,0.626379,C4
0.917809,0.10326,C4
0.877245,0.239437,C4
0.897527,0.262686,C4
0.923341,0.398864,C4
0.772148,0.063403,C4
0.762928,0.114884,C4
0.877245,0.606451,C4
0.897527,0.028528,C4
0.227273,0.3,C4
0.873557,0.370632,C4
0.882777,0.297561,C4
0.936247,0.289258,C4
0.773991,0.242758,C4
0.80718,0.141456,C4
0.773991,0.332436,C4
0.797961,0.211205,C4
0.934403,0.194598,C4
0.912278,0.211205,C4
0.93256,0.211205,C4
0.895683,0.159723,C4
0.794273,0.315829,C4
