B1";F1";P1;B2";F2";P2;B3";F3";P3;B4";F4";P4;B5";F5";P5;B6";F6";P6;B7";F7";P7;B8";F8";P8;B9";F9";P9;B10";F10";P10
ASH->ClustersByDistribution";0.0"; {DENCLUE_SIGMA=27.222221, DENCLUE_EPSILON=11.155556} {DBCLASD_PTS=20.0};AttractionTree->DensityTree";99.92267261034615"; {DHC_SIGMA=13.444445, DHC_THRESHOLD=60.0, DHC_MINPTS=10.0} {DHC_SIGMA=13.444445, DHC_THRESHOLD=60.0, DHC_MINPTS=10.0};AttractionTree->DensityTree";99.92267261034615"; {DHC_SIGMA=13.444445, DHC_THRESHOLD=60.0, DHC_MINPTS=10.0} {DHC_SIGMA=13.444445, DHC_THRESHOLD=60.0, DHC_MINPTS=10.0};AttractionTree->DensityTree";99.92267261034615"; {DHC_SIGMA=13.444445, DHC_THRESHOLD=60.0, DHC_MINPTS=10.0} {DHC_SIGMA=13.444445, DHC_THRESHOLD=60.0, DHC_MINPTS=10.0};AttractionTree->DensityTree";99.92267261034615"; {DHC_SIGMA=13.444445, DHC_THRESHOLD=60.0, DHC_MINPTS=10.0} {DHC_SIGMA=13.444445, DHC_THRESHOLD=60.0, DHC_MINPTS=10.0};AttractionTree->DensityTree";99.92457343487146"; {DHC_SIGMA=10.333334, DHC_THRESHOLD=37.77778, DHC_MINPTS=13.333333} {DHC_SIGMA=10.333334, DHC_THRESHOLD=37.77778, DHC_MINPTS=13.333333};AttractionTree->DensityTree";99.92457343487146"; {DHC_SIGMA=10.333334, DHC_THRESHOLD=37.77778, DHC_MINPTS=13.333333} {DHC_SIGMA=10.333334, DHC_THRESHOLD=37.77778, DHC_MINPTS=13.333333};AttractionTree->DensityTree";99.92457343487146"; {DHC_SIGMA=10.333334, DHC_THRESHOLD=37.77778, DHC_MINPTS=13.333333} {DHC_SIGMA=10.333334, DHC_THRESHOLD=37.77778, DHC_MINPTS=13.333333};AttractionTree->DensityTree";99.92457343487146"; {DHC_SIGMA=10.333334, DHC_THRESHOLD=37.77778, DHC_MINPTS=13.333333} {DHC_SIGMA=10.333334, DHC_THRESHOLD=37.77778, DHC_MINPTS=13.333333};AttractionTree->DensityTree";99.92457343487146"; {DHC_SIGMA=10.333334, DHC_THRESHOLD=37.77778, DHC_MINPTS=13.333333} {DHC_SIGMA=10.333334, DHC_THRESHOLD=37.77778, DHC_MINPTS=13.333333}
ASH->ClustersByDistribution";0.0"; {DENCLUE_SIGMA=53.444443, DENCLUE_EPSILON=6.733333} {DBCLASD_PTS=20.0};AttractionTree->DensityTree";99.9066463727876"; {DHC_SIGMA=15.0, DHC_THRESHOLD=48.888885, DHC_MINPTS=10.0} {DHC_SIGMA=15.0, DHC_THRESHOLD=48.888885, DHC_MINPTS=10.0};AttractionTree->DensityTree";99.90942436707986"; {DHC_SIGMA=13.444445, DHC_THRESHOLD=48.888885, DHC_MINPTS=10.0} {DHC_SIGMA=13.444445, DHC_THRESHOLD=48.888885, DHC_MINPTS=10.0};AttractionTree->DensityTree";99.81030931684401"; {DHC_SIGMA=4.111111, DHC_THRESHOLD=54.444443, DHC_MINPTS=15.0} {DHC_SIGMA=4.111111, DHC_THRESHOLD=54.444443, DHC_MINPTS=15.0};AttractionTree->DensityTree";99.87156593021867"; {DHC_SIGMA=7.2222223, DHC_THRESHOLD=54.444443, DHC_MINPTS=13.333333} {DHC_SIGMA=7.2222223, DHC_THRESHOLD=54.444443, DHC_MINPTS=13.333333};AdaptableKDTree->MergeByOverlap";96.83772233983163"; {DESCRY_DENSITY=40.333332, DESCRY_K=8.0} {PHC_GRID=44.666668, PHC_RADIUS=23.333334};AttractionTree->DensityTree";99.81030931684401"; {DHC_SIGMA=4.111111, DHC_THRESHOLD=37.77778, DHC_MINPTS=13.333333} {DHC_SIGMA=4.111111, DHC_THRESHOLD=37.77778, DHC_MINPTS=13.333333};AttractionTree->DensityTree";99.898487411482"; {DHC_SIGMA=8.777778, DHC_THRESHOLD=60.0, DHC_MINPTS=8.333333} {DHC_SIGMA=8.777778, DHC_THRESHOLD=60.0, DHC_MINPTS=8.333333};AttractionTree->DensityTree";99.7120413945758"; {DHC_SIGMA=4.111111, DHC_THRESHOLD=15.555555, DHC_MINPTS=10.0} {DHC_SIGMA=4.111111, DHC_THRESHOLD=15.555555, DHC_MINPTS=10.0};AttractionTree->DensityTree";99.88043934083544"; {DHC_SIGMA=7.2222223, DHC_THRESHOLD=60.0, DHC_MINPTS=10.0} {DHC_SIGMA=7.2222223, DHC_THRESHOLD=60.0, DHC_MINPTS=10.0}
AttractionTree->DensityTree";99.90942436707986"; {DHC_SIGMA=13.444445, DHC_THRESHOLD=43.333332, DHC_MINPTS=6.6666665} {DHC_SIGMA=13.444445, DHC_THRESHOLD=43.333332, DHC_MINPTS=6.6666665};AttractionTree->DensityTree";99.83557699370739"; {DHC_SIGMA=5.666667, DHC_THRESHOLD=26.666666, DHC_MINPTS=20.0} {DHC_SIGMA=5.666667, DHC_THRESHOLD=26.666666, DHC_MINPTS=20.0};DistanceInformation->ClusterByDensityPeak";81.97144746622128"; {DPCI_DC_PERCENT=11.888889, DISTANCE_INFO=1.2222222} {DPCI_DC_PERCENT=11.888889, DISTANCE_INFO=1.2222222};CandidatesByDistance->ClusterByConnectiveness";94.72943733796897"; {DBSCAN_MAX_DIST=22.777779, DBSCAN_NUM_PTS=11.555555} {DBSCAN_MAX_DIST=22.777779, DBSCAN_NUM_PTS=11.555555};CandidatesByDistance->ClustersByDistribution";94.07413625963935"; {DBSCAN_MAX_DIST=39.111115, DBSCAN_NUM_PTS=13.666667} {DBCLASD_PTS=11.555555};AdaptableKDTree->MergeByDistance";93.97306412050442"; {DESCRY_DENSITY=46.888885, DESCRY_K=14.0} {DESCRY_DENSITY=46.888885, DESCRY_K=14.0};AttractionTree->DensityTree";99.73261745883217"; {DHC_SIGMA=5.666667, DHC_THRESHOLD=15.555555, DHC_MINPTS=10.0} {DHC_SIGMA=5.666667, DHC_THRESHOLD=15.555555, DHC_MINPTS=10.0};AttractionTree->DensityTree";99.7673197007609"; {DHC_SIGMA=8.777778, DHC_THRESHOLD=26.666666, DHC_MINPTS=10.0} {DHC_SIGMA=8.777778, DHC_THRESHOLD=26.666666, DHC_MINPTS=10.0};ASH->AttractionTree->DensityTree";98.27814313026856"; {DENCLUE_SIGMA=60.0, DENCLUE_EPSILON=17.788889} {DHC_SIGMA=11.888889, DHC_THRESHOLD=21.11111, DHC_MINPTS=18.333332} {DHC_SIGMA=11.888889, DHC_THRESHOLD=21.11111, DHC_MINPTS=18.333332};AttractionTree->DensityTree";99.40112208863388"; {DHC_SIGMA=8.777778, DHC_THRESHOLD=15.555555, DHC_MINPTS=11.666666} {DHC_SIGMA=8.777778, DHC_THRESHOLD=15.555555, DHC_MINPTS=11.666666}
CandidatesByNpts->ClusterByConnectiveness";0.0"; {DBCLASD_PTS=17.88889} {DBSCAN_MAX_DIST=50.0, DBSCAN_NUM_PTS=15.777779};AttractionTree->DensityTree";99.83557699370739"; {DHC_SIGMA=5.666667, DHC_THRESHOLD=26.666666, DHC_MINPTS=11.666666} {DHC_SIGMA=5.666667, DHC_THRESHOLD=26.666666, DHC_MINPTS=11.666666};CandidatesByDistance->ClustersByDistribution";71.2808841851063"; {DBSCAN_MAX_DIST=11.888889, DBSCAN_NUM_PTS=5.2222223} {DBCLASD_PTS=15.777779};AdaptableKDTree->MergeByDistance";94.51474927416669"; {DESCRY_DENSITY=33.77778, DESCRY_K=20.0} {DESCRY_DENSITY=33.77778, DESCRY_K=20.0};DenseAreas->ClusterByPartition";92.98466518089398"; {CLIQUE_SLICES=11.222222, CLIQUE_THRESHOLD=0.10000007} {CLIQUE_SLICES=11.222222, CLIQUE_THRESHOLD=0.10000007};CandidatesByDistance->ClustersByDistribution";92.63758120526848"; {DBSCAN_MAX_DIST=28.222223, DBSCAN_NUM_PTS=17.88889} {DBCLASD_PTS=20.0};AdaptableKDTree->MergeByOverlap";96.83772233983163"; {DESCRY_DENSITY=53.444443, DESCRY_K=20.0} {PHC_GRID=28.666668, PHC_RADIUS=34.0};CandidatesByNpts->ClusterByConnectiveness";97.74353158796738"; {DBCLASD_PTS=7.3333335} {DBSCAN_MAX_DIST=17.333334, DBSCAN_NUM_PTS=13.666667};AdaptableKDTree->MergeByOverlap";96.97665334438804"; {DESCRY_DENSITY=14.111111, DESCRY_K=20.0} {PHC_GRID=23.333334, PHC_RADIUS=28.666668};AdaptableKDTree->MergeByOverlap";96.83772233983163"; {DESCRY_DENSITY=60.0, DESCRY_K=18.0} {PHC_GRID=50.0, PHC_RADIUS=28.666668}
CandidatesByNpts->ClustersByDistribution";87.53328163553142"; {DBCLASD_PTS=15.777779} {DBCLASD_PTS=15.777779};AttractionTree->DensityTree";99.73261745883217"; {DHC_SIGMA=5.666667, DHC_THRESHOLD=15.555555, DHC_MINPTS=11.666666} {DHC_SIGMA=5.666667, DHC_THRESHOLD=15.555555, DHC_MINPTS=11.666666};CandidatesByDistance->ClustersByDistribution";69.43568160114751"; {DBSCAN_MAX_DIST=11.888889, DBSCAN_NUM_PTS=9.444445} {DBCLASD_PTS=15.777779};DistanceInformation->CandidatesByNpts->ClusterByConnectiveness";94.29579852811207"; {DPCI_DC_PERCENT=55.444447, DISTANCE_INFO=2.3333335} {DBCLASD_PTS=3.1111112} {DBSCAN_MAX_DIST=17.333334, DBSCAN_NUM_PTS=13.666667};DistanceInformation->ClusterByDensityPeak";85.87409577305954"; {DPCI_DC_PERCENT=99.0, DISTANCE_INFO=2.7777777} {DPCI_DC_PERCENT=99.0, DISTANCE_INFO=2.7777777};DistanceInformation->CandidatesByNpts->ClustersByDistribution";90.02972512736633"; {DPCI_DC_PERCENT=44.555557, DISTANCE_INFO=2.3333335} {DBCLASD_PTS=9.444445} {DBCLASD_PTS=9.444445};CandidatesByNpts->ClusterByConnectiveness";96.2918951621796"; {DBCLASD_PTS=11.555555} {DBSCAN_MAX_DIST=50.0, DBSCAN_NUM_PTS=7.3333335};AdaptableKDTree->MergeByOverlap";97.17710255234094"; {DESCRY_DENSITY=20.666666, DESCRY_K=12.0} {PHC_GRID=18.0, PHC_RADIUS=50.0};DenseAreas->ClusterByPartition";96.42970973252748"; {CLIQUE_SLICES=23.555555, CLIQUE_THRESHOLD=0.16666673} {CLIQUE_SLICES=23.555555, CLIQUE_THRESHOLD=0.16666673};DistanceInformation->CandidatesByNpts->ClustersByDistribution";94.5297098729525"; {DPCI_DC_PERCENT=99.0, DISTANCE_INFO=1.4444444} {DBCLASD_PTS=3.1111112} {DBCLASD_PTS=3.1111112}
DenseAreas->AMRTree->ClustersAMR";0.0"; {CLIQUE_SLICES=11.222222, CLIQUE_THRESHOLD=0.16666673} {AMR_LAMBDA=9.0, AMR_SLICES=10.555555, AMR_DENSITY=20.0} {AMR_LAMBDA=9.0, AMR_SLICES=10.555555, AMR_DENSITY=20.0};ASH->AttractionTree->DensityTree";99.51000366065793"; {DENCLUE_SIGMA=33.77778, DENCLUE_EPSILON=20.0} {DHC_SIGMA=13.444445, DHC_THRESHOLD=21.11111, DHC_MINPTS=18.333332} {DHC_SIGMA=13.444445, DHC_THRESHOLD=21.11111, DHC_MINPTS=18.333332};CandidatesBySNN->ClusterByConnectiveness";0.0"; {K_THRESHOLD=36.666668} {DBSCAN_MAX_DIST=50.0, DBSCAN_NUM_PTS=3.1111112};CandidatesByNpts->ClusterByConnectiveness";93.43562560407781"; {DBCLASD_PTS=3.1111112} {DBSCAN_MAX_DIST=22.777779, DBSCAN_NUM_PTS=17.88889};CandidatesByDistance->ClustersByDistribution";83.50353879125615"; {DBSCAN_MAX_DIST=6.4444447, DBSCAN_NUM_PTS=17.88889} {DBCLASD_PTS=3.1111112};CandidatesBySNN->SNNByConnectiveness";83.67014894079479"; {K_THRESHOLD=32.22222} {SNN_NUM_PTS=23.777779, K_THRESHOLD=32.22222, SNN_MAX_DIST=12.0};AdaptableKDTree->MergeByDistance";89.7467909928829"; {DESCRY_DENSITY=7.5555553, DESCRY_K=20.0} {DESCRY_DENSITY=7.5555553, DESCRY_K=20.0};AdaptableKDTree->MergeByOverlap";96.83772233983163"; {DESCRY_DENSITY=60.0, DESCRY_K=14.0} {PHC_GRID=18.0, PHC_RADIUS=12.666667};CandidatesByNpts->ClustersByDistribution";94.5297098729525"; {DBCLASD_PTS=3.1111112} {DBCLASD_PTS=3.1111112};DistanceInformation->ClusterByDensityPeak";81.97144746622128"; {DPCI_DC_PERCENT=11.888889, DISTANCE_INFO=3.0} {DPCI_DC_PERCENT=11.888889, DISTANCE_INFO=3.0}
ClustersByAttractors";0.0"; {DENCLUE_SIGMA=33.77778, DENCLUE_EPSILON=20.0};CandidatesByNpts->ClusterByConnectiveness";95.5765901012347"; {DBCLASD_PTS=5.2222223} {DBSCAN_MAX_DIST=50.0, DBSCAN_NUM_PTS=9.444445};CandidatesBySNN->DistanceInformation->CandidatesByNpts->ClusterByConnectiveness";0.0"; {K_THRESHOLD=50.0} {DPCI_DC_PERCENT=44.555557, DISTANCE_INFO=2.5555556} {DBCLASD_PTS=7.3333335} {DBSCAN_MAX_DIST=39.111115, DBSCAN_NUM_PTS=7.3333335};CandidatesByDistance->ClustersByDistribution";90.54634598379292"; {DBSCAN_MAX_DIST=50.0, DBSCAN_NUM_PTS=5.2222223} {DBCLASD_PTS=3.1111112};CandidatesByDistance->ClustersByDistribution";68.84403573920292"; {DBSCAN_MAX_DIST=11.888889, DBSCAN_NUM_PTS=20.0} {DBCLASD_PTS=13.666667};DistanceInformation->ClusterByDensityPeak";81.97144746622128"; {DPCI_DC_PERCENT=33.666668, DISTANCE_INFO=1.2222222} {DPCI_DC_PERCENT=33.666668, DISTANCE_INFO=1.2222222};CandidatesByNpts->ClustersByDistribution";86.79989781569485"; {DBCLASD_PTS=13.666667} {DBCLASD_PTS=13.666667};CandidatesBySNN->DistanceInformation->CandidatesByNpts->ClustersByDistribution";83.35318261948878"; {K_THRESHOLD=50.0} {DPCI_DC_PERCENT=22.777779, DISTANCE_INFO=2.5555556} {DBCLASD_PTS=20.0} {DBCLASD_PTS=20.0};DenseAreas->ClusterByPartition";93.79055367776702"; {CLIQUE_SLICES=7.111111, CLIQUE_THRESHOLD=0.23333336} {CLIQUE_SLICES=7.111111, CLIQUE_THRESHOLD=0.23333336};DistanceInformation->ClusterByDensityPeak";67.5510354001294"; {DPCI_DC_PERCENT=99.0, DISTANCE_INFO=1.6666667} {DPCI_DC_PERCENT=99.0, DISTANCE_INFO=1.6666667}
DistanceInformation->ClusterByDensityPeak";81.97144746622128"; {DPCI_DC_PERCENT=33.666668, DISTANCE_INFO=3.0} {DPCI_DC_PERCENT=33.666668, DISTANCE_INFO=3.0};AdaptableKDTree->MergeByDistance";93.55954828742658"; {DESCRY_DENSITY=40.333332, DESCRY_K=16.0} {DESCRY_DENSITY=40.333332, DESCRY_K=16.0};DenseAreas->AMRTree->ClustersAMR";0.0"; {CLIQUE_SLICES=40.0, CLIQUE_THRESHOLD=0.16666673} {AMR_LAMBDA=19.666668, AMR_SLICES=21.666666, AMR_DENSITY=20.0} {AMR_LAMBDA=19.666668, AMR_SLICES=21.666666, AMR_DENSITY=20.0};Equally Sized Grid->AMRTree->MergeByOverlap";0.0"; {AMR_SLICES=30.0} {AMR_LAMBDA=11.666667, AMR_SLICES=30.0, AMR_DENSITY=17.88889} {PHC_GRID=34.0, PHC_RADIUS=50.0};DistanceInformation->ClusterByDensityPeak";67.5510354001294"; {DPCI_DC_PERCENT=99.0, DISTANCE_INFO=1.2222222} {DPCI_DC_PERCENT=99.0, DISTANCE_INFO=1.2222222};DistanceInformation->ClusterByDensityPeak";81.97144746622128"; {DPCI_DC_PERCENT=22.777779, DISTANCE_INFO=1.8888888} {DPCI_DC_PERCENT=22.777779, DISTANCE_INFO=1.8888888};CandidatesByNpts->ClustersByDistribution";85.40200077760976"; {DBCLASD_PTS=17.88889} {DBCLASD_PTS=17.88889};DistanceInformation->ClusterByDensityPeak";81.97144746622128"; {DPCI_DC_PERCENT=33.666668, DISTANCE_INFO=3.0} {DPCI_DC_PERCENT=33.666668, DISTANCE_INFO=3.0};DenseAreas->ClusterByPartition";93.41180580256461"; {CLIQUE_SLICES=7.111111, CLIQUE_THRESHOLD=0.3} {CLIQUE_SLICES=7.111111, CLIQUE_THRESHOLD=0.3};ClustersByAttractors";0.0"; {DENCLUE_SIGMA=7.5555553, DENCLUE_EPSILON=6.733333}
CandidatesBySNN->ClusterByConnectiveness";0.0"; {K_THRESHOLD=14.444445} {DBSCAN_MAX_DIST=28.222223, DBSCAN_NUM_PTS=15.777779};CandidatesByNpts->ClusterByConnectiveness";93.38518305945527"; {DBCLASD_PTS=3.1111112} {DBSCAN_MAX_DIST=44.555557, DBSCAN_NUM_PTS=20.0};CandidatesByNpts->ClusterByConnectiveness";0.0"; {DBCLASD_PTS=20.0} {DBSCAN_MAX_DIST=50.0, DBSCAN_NUM_PTS=13.666667};ASH->ClustersByAttractors";0.0"; {DENCLUE_SIGMA=14.111111, DENCLUE_EPSILON=6.733333} {DENCLUE_SIGMA=14.111111, DENCLUE_EPSILON=6.733333};CandidatesBySNN->DistanceInformation->ClusterByDensityPeak";57.06689804536978"; {K_THRESHOLD=14.444445} {DPCI_DC_PERCENT=44.555557, DISTANCE_INFO=2.1111112} {DPCI_DC_PERCENT=44.555557, DISTANCE_INFO=2.1111112};DenseAreas->AMRTree->ClustersAMR";0.0"; {CLIQUE_SLICES=11.222222, CLIQUE_THRESHOLD=0.033333424} {AMR_LAMBDA=3.6666667, AMR_SLICES=7.7777777, AMR_DENSITY=20.0} {AMR_LAMBDA=3.6666667, AMR_SLICES=7.7777777, AMR_DENSITY=20.0};ClustersByAttractors";0.0"; {DENCLUE_SIGMA=33.77778, DENCLUE_EPSILON=11.155556};DistanceInformation->ClusterByDensityPeak";76.82403620978788"; {DPCI_DC_PERCENT=22.777779, DISTANCE_INFO=2.3333335} {DPCI_DC_PERCENT=22.777779, DISTANCE_INFO=2.3333335};CandidatesBySNN->DistanceInformation->CandidatesByNpts->ClustersByDistribution";87.44829247128354"; {K_THRESHOLD=32.22222} {DPCI_DC_PERCENT=11.888889, DISTANCE_INFO=2.3333335} {DBCLASD_PTS=15.777779} {DBCLASD_PTS=15.777779};DenseAreas->ClustersByAttractors";0.0"; {CLIQUE_SLICES=23.555555, CLIQUE_THRESHOLD=0.10000007} {DENCLUE_SIGMA=27.222221, DENCLUE_EPSILON=13.366667}
CandidatesByDistance->ClustersByDistribution";0.0"; {DBSCAN_MAX_DIST=17.333334, DBSCAN_NUM_PTS=17.88889} {DBCLASD_PTS=9.444445};AdaptableKDTree->MergeByDistance";92.8327293505766"; {DESCRY_DENSITY=40.333332, DESCRY_K=6.0} {DESCRY_DENSITY=40.333332, DESCRY_K=6.0};Equally Sized Grid->AMRTree->MergeByOverlap";0.0"; {AMR_SLICES=13.333333} {AMR_LAMBDA=14.333334, AMR_SLICES=13.333333, AMR_DENSITY=17.88889} {PHC_GRID=50.0, PHC_RADIUS=39.333336};Equally Sized Grid->AMRTree->MergeByDistance";0.0"; {AMR_SLICES=24.444443} {AMR_LAMBDA=11.666667, AMR_SLICES=24.444443, AMR_DENSITY=20.0} {DESCRY_DENSITY=60.0, DESCRY_K=10.0};CandidatesByNpts->ClustersByDistribution";0.0"; {DBCLASD_PTS=15.777779} {DBCLASD_PTS=15.777779};AdaptableKDTree->ClustersAMR";0.0"; {DESCRY_DENSITY=27.222221, DESCRY_K=12.0} {AMR_LAMBDA=11.666667, AMR_SLICES=13.333333, AMR_DENSITY=15.777779};ASH->ClustersByDistribution";0.0"; {DENCLUE_SIGMA=7.5555553, DENCLUE_EPSILON=13.366667} {DBCLASD_PTS=9.444445};DistanceInformation->ClusterByDensityPeak";58.5008114771544"; {DPCI_DC_PERCENT=33.666668, DISTANCE_INFO=2.7777777} {DPCI_DC_PERCENT=33.666668, DISTANCE_INFO=2.7777777};DistanceInformation->ClusterByDensityPeak";84.58500162272593"; {DPCI_DC_PERCENT=77.22223, DISTANCE_INFO=1.8888888} {DPCI_DC_PERCENT=77.22223, DISTANCE_INFO=1.8888888};ASH->ClustersByDistribution";0.0"; {DENCLUE_SIGMA=60.0, DENCLUE_EPSILON=13.366667} {DBCLASD_PTS=13.666667}
