@relation master
@attribute RMSVA real
@attribute RMSVB real
@attribute RMSVC real
@attribute RMSIA real
@attribute RMSIB real
@attribute RMSIC real
@attribute class {AT,BT,CT,AB,AC,BC,ABC,ABT,ACT,BCT,ABCT}
@data
0.610,0.585,0.710,0.010,0.009,0.001,AB
0.597,0.591,0.705,0.009,0.009,0.001,AB
0.632,0.633,0.708,0.006,0.006,0.001,AB
0.515,0.437,0.707,0.022,0.022,0.001,AB
0.621,0.619,0.708,0.007,0.006,0.001,AB
0.595,0.589,0.706,0.009,0.009,0.001,AB
0.558,0.533,0.706,0.014,0.013,0.001,AB
0.619,0.603,0.707,0.008,0.007,0.001,AB
0.658,0.642,0.711,0.005,0.005,0.001,AB
0.601,0.589,0.705,0.009,0.009,0.001,AB
0.527,0.487,0.706,0.018,0.017,0.001,AB
0.478,0.383,0.703,0.031,0.031,0.001,AB
0.580,0.539,0.708,0.013,0.012,0.001,AB
0.546,0.528,0.704,0.015,0.015,0.001,AB
0.622,0.596,0.702,0.009,0.009,0.001,AB
0.601,0.596,0.708,0.009,0.008,0.001,AB
0.608,0.534,0.712,0.014,0.014,0.001,AB
0.600,0.591,0.706,0.010,0.009,0.001,AB
0.556,0.540,0.703,0.015,0.015,0.001,AB
0.540,0.467,0.705,0.019,0.019,0.001,AB
0.642,0.624,0.704,0.006,0.005,0.001,AB
0.595,0.514,0.708,0.015,0.014,0.001,AB
0.639,0.632,0.704,0.006,0.005,0.001,AB
0.638,0.611,0.705,0.008,0.008,0.001,AB
0.650,0.650,0.703,0.006,0.005,0.001,AB
0.573,0.549,0.706,0.013,0.012,0.001,AB
0.529,0.466,0.707,0.020,0.020,0.001,AB
0.549,0.472,0.705,0.018,0.018,0.001,AB
0.616,0.613,0.706,0.008,0.007,0.001,AB
0.441,0.394,0.707,0.032,0.031,0.001,AB
0.631,0.617,0.708,0.007,0.006,0.001,AB
0.633,0.628,0.705,0.006,0.006,0.001,AB
0.594,0.541,0.705,0.013,0.012,0.001,AB
0.308,0.310,0.296,0.041,0.038,0.048,ABC
0.540,0.540,0.537,0.012,0.012,0.012,ABC
0.558,0.559,0.554,0.010,0.010,0.010,ABC
0.526,0.517,0.524,0.016,0.017,0.017,ABC
0.511,0.501,0.505,0.016,0.015,0.016,ABC
0.552,0.553,0.553,0.011,0.010,0.010,ABC
0.495,0.493,0.494,0.015,0.015,0.015,ABC
0.471,0.471,0.467,0.017,0.017,0.017,ABC
0.625,0.626,0.625,0.006,0.006,0.006,ABC
0.583,0.583,0.582,0.008,0.008,0.008,ABC
0.551,0.551,0.549,0.011,0.012,0.012,ABC
0.574,0.572,0.571,0.009,0.009,0.009,ABC
0.621,0.624,0.625,0.006,0.006,0.006,ABC
